,timestamp,ram_used_mb,ram_size_mb,largest_free_blocks,lfb_size_mb,swap_mb,swap_size_mb,cached_mb,cpu_0_load,cpu_1_load,cpu_2_load,cpu_3_load,cpu_4_load,cpu_5_load,cpu_6_load,cpu_7_load,cpu_8_load,cpu_9_load,cpu_10_load,cpu_11_load,cpu_0_freq,cpu_1_freq,cpu_2_freq,cpu_3_freq,cpu_4_freq,cpu_5_freq,cpu_6_freq,cpu_7_freq,cpu_8_freq,cpu_9_freq,cpu_10_freq,cpu_11_freq,EMC_%bandwidth,EMC_freq_mhz,gr3d_%bandwidth,gr3d_freq_mhz,gr3d2_%bandwidth,gr3d2_freq_mhz,nvjpg1,vic_freq,ape,CV0,CPU,Tdiode,SOC2,SOC0,CV1,GPU,SOC1,CV2,VDD_GPU_SOC_current,VDD_GPU_SOC_avg,VDD_CPU_CV_current,VDD_CPU_CV_avg,VIN_SYS_5V0_current,VIN_SYS_5V0_avg,NC_current,NC_avg,VDDQ_VDD2_1V8AO_current,VDDQ_VDD2_1V8AO_avg,NC_current,NC_avg
0,2023-07-12 12:22:03,5497,30623,3692,4,0,15311,0,6,1,0,0,3,2,1,1,2,1,2,0,729,729,729,730,752,729,729,724,729,701,730,728,1,665,0,114,0,114,729,729,233,-256,47.281,36.25,43.5,44.406,-256,41.937,43.937,-256,4755,4755,1188,1188,3818,3818,0,0,803,803,0,0
1,2023-07-12 12:22:04,5496,30623,3692,4,0,15311,0,4,0,0,1,2,2,0,0,4,2,1,0,729,729,739,729,729,730,730,729,723,728,687,729,2,204,0,114,0,114,729,729,233,-256,47.468,36.25,43.531,44.437,-256,41.687,43.906,-256,4755,4755,792,990,3717,3767,0,0,703,753,0,0
2,2023-07-12 12:22:05,5497,30623,3692,4,0,15311,0,3,0,1,0,0,1,1,1,2,1,3,2,1649,729,744,1225,736,728,711,729,730,729,728,759,1,204,0,114,0,114,729,729,233,-256,47.406,36.25,43.406,44.312,-256,41.843,43.75,-256,4755,4755,792,924,3818,3784,0,0,803,769,0,0
3,2023-07-12 12:22:06,5497,30623,3692,4,0,15311,0,5,1,0,0,3,0,2,0,3,0,4,0,729,729,729,729,702,729,726,729,729,732,730,729,1,204,0,114,0,114,729,729,233,-256,47.375,36.25,43.437,44.25,-256,41.656,43.781,-256,4755,4755,792,891,3818,3792,0,0,803,778,0,0
4,2023-07-12 12:22:07,5497,30623,3692,4,0,15311,0,4,0,0,0,3,1,0,1,3,0,0,0,2193,729,728,729,729,729,750,729,768,731,729,727,0,204,0,114,0,114,729,729,233,-256,47.406,36.25,43.437,44.312,-256,41.656,43.75,-256,4755,4755,792,871,3717,3777,0,0,803,783,0,0
5,2023-07-12 12:22:08,5497,30623,3692,4,0,15311,0,6,0,1,0,3,0,0,1,2,0,3,0,2194,704,729,730,729,741,729,727,710,729,729,736,0,2133,0,114,0,114,729,729,233,-256,47.25,36.25,43.375,44.375,-256,41.781,43.875,-256,4755,4755,1188,924,3824,3785,0,0,805,786,0,0
6,2023-07-12 12:22:09,5497,30623,3692,4,0,15311,0,5,1,2,0,3,0,0,0,3,1,4,0,1718,728,729,729,719,728,729,727,730,729,729,730,0,2133,0,114,0,114,729,729,233,-256,47.468,36.25,43.343,44.375,-256,41.656,43.687,-256,4755,4755,1188,961,3818,3790,0,0,803,789,0,0
7,2023-07-12 12:22:10,5497,30623,3692,4,0,15311,0,4,8,1,2,3,1,2,0,3,2,0,0,729,712,729,730,728,750,729,729,730,730,729,729,0,204,0,114,0,114,729,729,233,-256,47.218,36.25,43.468,44.281,-256,41.468,43.687,-256,4755,4755,792,940,3818,3793,0,0,803,790,0,0
8,2023-07-12 12:22:11,5593,30623,3692,4,0,15311,0,42,39,41,47,42,43,44,42,42,42,45,57,2193,2188,2225,2195,2192,2192,2189,2187,2189,2193,2192,2194,0,2133,0,114,0,114,729,729,233,-256,53.218,36.25,45.062,44.375,-256,41.593,44,-256,4753,4754,11088,2068,4220,3840,0,0,1004,814,0,0
9,2023-07-12 12:22:12,5769,30623,3692,4,0,15311,0,100,100,100,100,100,100,100,100,100,100,100,95,2061,2190,2187,2192,2063,2190,2194,2193,2193,2067,2211,2190,1,2133,6,114,6,114,729,729,233,-256,55.062,36.5,45.687,44.562,-256,42.187,44.218,-256,5150,4794,17028,3564,4421,3898,0,0,1105,843,0,0
10,2023-07-12 12:22:13,6472,30623,3692,4,0,15311,0,100,100,100,100,100,100,100,100,100,100,100,97,2195,2196,2194,2193,2372,2193,2193,2193,2193,2192,2192,2186,3,2133,6,114,4,114,729,729,233,-256,55.25,36.75,45.906,44.718,-256,42.25,44.5,-256,5150,4826,17424,4824,4528,3956,0,0,1207,876,0,0
11,2023-07-12 12:22:14,7284,30623,3668,4,0,15311,0,100,100,100,100,100,100,100,100,100,100,100,98,2128,2193,2192,2193,2194,2193,2182,2192,2192,2192,2194,2194,4,2133,0,114,0,114,729,729,233,-256,55.656,37,46.031,44.906,-256,42.531,44.562,-256,5152,4853,17424,5874,4636,4012,0,0,1308,912,0,0
