timestamp,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz
2023-02-06 14:58:53.040304553,2.68,4,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2140711.8333333335,955159,3664630,995557.1365871669,3664630,1925891,965280,955159,1568707,1113118,1605937,3502443,1487263,3389827,3241038,2269249
2023-02-06 14:58:55.048307465,2.68,8,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2040499.8333333333,970583,3785627,899999.1544744022,1757406,2664017,1365235,970583,3293519,2312451,1006255,1490664,2146595,2713604,3785627,980042
2023-02-06 14:58:57.04430697,2.68,9,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2416629.0833333335,912287,4017249,1255034.1438961239,1756358,1417568,912287,1119642,3889057,1190029,1963303,3984961,4017249,3386768,1350533,4011794
2023-02-06 14:58:59.032281646,2.62,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2543155.75,1098819,4044981,993833.3672870019,2181236,3974188,2689854,1362769,1918042,2962071,2275168,4044981,1360224,1098819,2752360,3898157
2023-02-06 14:59:01.028309712,2.62,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2373517.5,867265,4025827,1119938.6428554542,2155161,1727260,2853991,3294220,4025827,3889000,929405,867265,1262388,1332424,2428356,3716913
2023-02-06 14:59:03.032300383,2.49,6,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2736708.6666666665,990138,4034829,1065791.573481602,3588547,990138,2258436,4006284,2279405,3602162,1895725,1060100,2232969,4034829,3990427,2901482
2023-02-06 14:59:05.028291844,2.49,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2300210.9166666665,957555,3974451,1134728.627328245,1969239,2706488,1180448,3927737,975678,3434943,1484856,1088156,3974451,957555,3518930,2384050
2023-02-06 14:59:07.028296879,2.49,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1848543.5833333333,862537,3228589,717495.7273213617,1599908,1097529,1127589,1727561,862537,2323377,1736600,2593548,1296296,2862324,1726665,3228589
2023-02-06 14:59:09.040316925,2.37,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2139798.6666666665,896130,3139418,780188.7324605432,3139418,3127144,2405488,2509834,1109048,896130,2285412,2763854,1048848,2851040,1511463,2029905
2023-02-06 14:59:11.032299174,2.37,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2541096.5833333335,970336,3841640,835664.2882580957,1793310,970336,1769975,3236511,2102718,3459020,3213564,3841640,1768421,2315374,2951730,3070560
2023-02-06 14:59:13.028284073,2.18,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2321813.5833333335,979137,3533236,801833.8901960367,2267738,2413088,2341167,3267916,1051815,979137,1869781,3533236,1942362,3013497,1900502,3281524
2023-02-06 14:59:15.04449261,2.18,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1985239.5,859481,3996797,1129712.3154154115,1641512,1604987,1585835,3585193,862366,1044090,1522888,3993384,1195827,3996797,859481,1930514
2023-02-06 14:59:17.056281233,2.18,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2196424.25,971663,3576762,875204.3211671704,3347696,971663,1420288,2626036,1355151,1153327,1395122,2571704,2473875,3576762,2262047,3203420
2023-02-06 14:59:19.032300612,2.01,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1966813.1666666667,983299,3678605,996261.6976128673,3663702,2312574,2197027,3273284,1492043,983299,1357544,1053198,1334139,1217182,1039161,3678605
2023-02-06 14:59:21.040291738,2.01,6,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2233127.25,987028,3967784,1054080.9018908467,3683436,987028,1747210,3967784,3419165,1482438,1748700,1510398,1689935,3596468,1022150,1942815
2023-02-06 14:59:23.048293723,1.85,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1918436.1666666667,867068,3598644,983894.579435371,3598644,2951530,1915536,3315574,907805,1002398,1861497,2882278,867068,1040231,1805240,873433
2023-02-06 14:59:25.040290435,1.85,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2183771.4166666665,1014010,3780652,992303.7505473024,3333336,1456740,2116435,1227993,3780652,2880670,2284431,3753304,1181724,2065604,1110358,1014010
2023-02-06 14:59:27.03627982,1.85,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2700376.9166666665,1088845,3956458,847436.1995912001,3597204,2800453,1921898,3028681,1088845,3524682,3064850,1853648,3956458,2377776,3388529,1801499
2023-02-06 14:59:29.04030143,1.7,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2356564.6666666665,1039665,3934633,1039685.9128926337,1355388,1127708,1437102,1039665,3822755,1653874,3241325,3724247,2554194,2203658,3934633,2184227
2023-02-06 14:59:31.036271698,1.7,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2005485.4166666667,873729,4028735,1179087.612607269,4028735,4009410,1170790,931531,1671635,945077,1686460,3472088,961792,873729,1517467,2797111
2023-02-06 14:59:33.052368306,1.64,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2690517.0,1027687,4048404,1179157.3866469932,1313032,1027687,1639110,1170929,3981101,2184418,2463180,3790069,2613213,4041488,4048404,4013573
2023-02-06 14:59:35.044291809,1.64,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2208299.8333333335,861180,3932868,990643.0669243617,2808755,1020190,1510758,1332406,3582870,3281725,2820698,3932868,861180,1749973,1802391,1795784
