timestamp,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz
2023-04-04 12:39:11.620143053,1.79,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2331382.9166666665,894188,4099458,1163686.9536367632,1171489,1624648,2252434,3531323,1114690,894188,1619587,1235698,4099458,3938276,3647192,2847612
2023-04-04 12:39:13.608121698,1.79,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2708132.0,1087471,4100000,1181484.6490407735,3870564,1345714,2577977,1087471,1498121,4046087,2643052,4047318,1498266,1800698,3982316,4100000
2023-04-04 12:39:15.62812842,1.81,8,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2081915.4166666667,1002779,3795693,950588.885431592,2029881,3795693,1437617,1002779,1679577,3403309,2114037,1095222,2743430,3270351,1372050,1039039
2023-04-04 12:39:17.61614456,1.81,8,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2886658.0,1606383,3890985,700345.4987594814,2270547,3727656,2647856,3890985,3720469,3482500,2096579,3006797,1606383,2308147,2761229,3120748
2023-04-04 12:39:19.620123581,1.74,8,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2030706.4166666667,968853,2953907,584246.5088569862,2249299,2346697,2810240,1456357,2016923,2953907,1870850,1806045,968853,2645362,1273427,1970517
2023-04-04 12:39:21.628128306,1.74,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2229997.9166666665,1106268,3863670,1006675.9254239881,1699455,3342258,1372245,1142067,1705917,3863670,2314443,3533818,1106268,3502273,1159578,2017983
2023-04-04 12:39:23.616125488,1.74,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2404577.5,925848,4026239,1131299.3889801747,2558182,4026239,1052577,960501,1381487,925848,2508253,1825380,3894686,3899825,2562568,3259384
2023-04-04 12:39:25.628148584,1.76,8,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2122675.1666666665,926562,3600525,832217.7459021601,1980168,926562,1920574,2733753,1880387,1057974,3600525,2337377,988760,2352617,2282662,3410743
2023-04-04 12:39:27.624144191,1.76,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2725064.8333333335,1183576,4062371,1041836.7525748162,3177119,3252288,2118951,1775297,4018369,4062371,3700809,1917214,1183576,1538687,1906617,4049480
2023-04-04 12:39:29.636139756,1.7,7,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2604418.5,1251471,3984267,984658.1953802971,2780034,1700366,3636615,3498377,2670314,3697496,2000775,1251471,1373752,1340210,3319345,3984267
