seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,x_rest
68446,19.34,,,31.79,,,,,5440641360.0,20112.0,0.016683883333333333,1.0,14.22348,0.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2536526.083333333,910785.0,4046231.0,1213755.9905228384,1383364.0,1494376.0,4046231.0,3999911.0,1536275.0,910785.0,984783.0,2976251.0,3259645.0,3910347.0,2015766.0,3920579.0,2.6,12.45
68447,21.55,,,31.79,,,,,5456500176.0,12576.0,0.033334383333333335,2.0,15.858816,0.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2536526.083333333,910785.0,4046231.0,1213755.9905228384,1383364.0,1494376.0,4046231.0,3999911.0,1536275.0,910785.0,984783.0,2976251.0,3259645.0,3910347.0,2015766.0,3920579.0,2.7,10.239999999999998
68448,19.41,,,31.79,,,,,5470800888.0,8532.0,0.05001671666666666,3.0,14.300712,0.99,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884487.1666666667,904871.0,3939135.0,912542.3376219168,3082245.0,3939135.0,1454472.0,2917615.0,1746376.0,1970727.0,1853734.0,1461602.0,933900.0,904871.0,1233140.0,1116029.0,3.2,12.379999999999999
68449,17.83,,,31.79,,,,,5483870928.0,12756.0,0.06667823333333334,4.0,13.07004,0.99,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884487.1666666667,904871.0,3939135.0,912542.3376219168,3082245.0,3939135.0,1454472.0,2917615.0,1746376.0,1970727.0,1853734.0,1461602.0,933900.0,904871.0,1233140.0,1116029.0,3.3,13.96
68450,17.93,,,31.79,,,,,5497079220.0,10644.0,0.08334783333333333,5.0,13.208292,0.99,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880938.1666666667,920129.0,3119449.0,725288.0922499961,1236376.0,1031165.0,2650082.0,1368957.0,2808688.0,2309929.0,2483109.0,920129.0,1486949.0,1821413.0,1335012.0,3119449.0,3.5,13.86
68451,17.11,,,31.79,122.88,0.27772,0.9316,0.0,5509673640.0,7452.0,0.10001078333333333,6.0,12.59442,0.99,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880938.1666666667,920129.0,3119449.0,725288.0922499961,1236376.0,1031165.0,2650082.0,1368957.0,2808688.0,2309929.0,2483109.0,920129.0,1486949.0,1821413.0,1335012.0,3119449.0,3.7,14.68
68452,14.58,,,31.79,122.88,0.27772,0.9316,0.0,5520340548.0,12300.0,0.11667733333333333,7.0,10.666908,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683756.5833333333,908582.0,3000520.0,611957.0971561185,1487888.0,908582.0,1142064.0,2502542.0,1439927.0,1375811.0,1749468.0,2357334.0,1705605.0,3000520.0,953115.0,1582223.0,3.8,17.21
68453,16.6,,,29.563304604954745,122.88,0.25446,0.9001,0.0,5532548016.0,32376.0,0.13334695,8.0,12.207468,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683756.5833333333,908582.0,3000520.0,611957.0971561185,1487888.0,908582.0,1142064.0,2502542.0,1439927.0,1375811.0,1749468.0,2357334.0,1705605.0,3000520.0,953115.0,1582223.0,3.9,12.963304604954743
68454,16.72,,,31.69454476342725,122.9,0.25175,0.9232,0.0,5544793704.0,18948.0,0.1500089666666667,9.0,12.245688,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135035.6666666665,858274.0,3902629.0,1207316.2262748545,1201935.0,894214.0,3673787.0,1075355.0,2664277.0,3726305.0,858274.0,866269.0,3480848.0,1404732.0,1871803.0,3902629.0,4.0,14.97454476342725
68455,17.54,,,33.62756796823969,122.81,0.30191,0.9457,0.0,5557753464.0,10248.0,0.16668526666666666,10.0,12.95976,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135035.6666666665,858274.0,3902629.0,1207316.2262748545,1201935.0,894214.0,3673787.0,1075355.0,2664277.0,3726305.0,858274.0,866269.0,3480848.0,1404732.0,1871803.0,3902629.0,4.0,16.08756796823969
