timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,LLC_MISSES,UNHALTED_CORE_CYCLES,UNHALTED_REFERENCE_CYCLES,time_enabled,time_running
1691279465093,sensor,all,0,3,3119,23,17336,42510,796643,796643
1691279465093,sensor,all,0,11,3527,1,33355,88374,793825,793825
1691279465093,sensor,all,0,10,3440,1,40998,110526,823332,823332
1691279465093,sensor,all,0,4,685332,8992,506261,1514058,831863,831863
1691279465093,sensor,all,0,5,3664,7,31284,79872,845177,845177
1691279465093,sensor,all,0,6,6083,10,42792,120978,838162,838162
1691279465093,sensor,all,0,7,3898,7,33308,63492,824315,824315
1691279465093,sensor,all,0,8,3430,6,33913,91260,801750,801750
1691279465093,sensor,all,0,9,3526,6,21725,55146,777226,777226
1691279465093,sensor,all,0,0,3645,8,46774,138372,802972,802972
1691279465093,sensor,all,0,1,5547,30,26408,69966,788633,788633
1691279465093,sensor,all,0,2,186428,1646,703703,2310126,782288,782288
1691279466093,sensor,all,0,3,694341,24396,2102878,7757334,965610890,965610890
1691279466093,sensor,all,0,11,67373805,473867,40374774,76294062,965651461,965651461
1691279466093,sensor,all,0,10,64406389,258647,24951222,74654814,965652946,965652946
1691279466093,sensor,all,0,4,10422166,236203,16045296,53491620,965676592,965676592
1691279466093,sensor,all,0,5,5648441,138001,6759747,16324542,965667507,965667507
1691279466093,sensor,all,0,6,5072460,233422,11825918,42981354,965664445,965664445
1691279466093,sensor,all,0,7,5972759,564857,14284441,49409724,965657565,965657565
1691279466093,sensor,all,0,8,976214,45638,3352698,10052874,965603092,965603092
1691279466093,sensor,all,0,9,31159062,153550,15249756,49014888,965585670,965585670
1691279466093,sensor,all,0,0,21342578,331106,24170981,59297004,965600086,965600086
1691279466093,sensor,all,0,1,999856,26625,2240127,6827574,965598319,965598319
1691279466093,sensor,all,0,2,105044788,600147,54839029,118755312,965603861,965603861
1691279467094,sensor,all,0,3,1149960,82747,3912576,14526798,1965850995,1965850995
1691279467094,sensor,all,0,11,1773354,209640,7588247,27892254,1965890876,1965890876
1691279467094,sensor,all,0,10,42436195,244105,20501512,59815080,1965942568,1965942568
1691279467094,sensor,all,0,4,2370518,169676,8301887,30652128,1965923192,1965923192
1691279467094,sensor,all,0,5,45288192,383643,27339459,46122726,1965967002,1965967002
1691279467094,sensor,all,0,6,4291968,243926,12104481,44803278,1965970232,1965970232
1691279467094,sensor,all,0,7,3584463,664376,13340612,49427586,1965978465,1965978465
1691279467094,sensor,all,0,8,16711196,461173,17467672,64135422,1965924370,1965924370
1691279467094,sensor,all,0,9,17680857,137365,7662910,28582320,1965913388,1965913388
1691279467094,sensor,all,0,0,10978998,233755,14709157,52575744,1965931778,1965931778
1691279467094,sensor,all,0,1,62529710,252210,29150958,39722748,1965927942,1965927942
1691279467094,sensor,all,0,2,2872978,160109,7477100,27907230,1965929196,1965929196
1691279468094,sensor,all,0,3,28389395,179666,15585439,58430892,2966066219,2966066219
1691279468094,sensor,all,0,11,63674196,435772,35353759,64183002,2966032406,2966032406
1691279468094,sensor,all,0,10,39993387,177613,16470729,61580766,2966008341,2966008341
1691279468094,sensor,all,0,4,3909796,115223,6571512,24651666,2966046608,2966046608
1691279468094,sensor,all,0,5,1098576,141975,3258436,12211758,2965987380,2965987380
1691279468094,sensor,all,0,6,2366096,182583,7349504,27553578,2965934221,2965934221
1691279468094,sensor,all,0,7,4360656,731419,14417684,54032394,2965917214,2965917214
1691279468094,sensor,all,0,8,1882069,139110,5321399,19273410,2965858621,2965858621
1691279468094,sensor,all,0,9,7230747,121762,4871733,18270876,2965849486,2965849486
1691279468094,sensor,all,0,0,2675277,184936,7493090,27895608,2965869236,2965869236
1691279468094,sensor,all,0,1,3093213,51939,2927653,10969764,2965865400,2965865400
1691279468094,sensor,all,0,2,2663226,144546,6342013,23785866,2965863927,2965863927
1691279469094,sensor,all,0,3,28171526,167727,12728066,47756748,3966464793,3966464793
1691279469094,sensor,all,0,11,63297007,438428,34491944,58381752,3966500767,3966500767
1691279469094,sensor,all,0,10,37763690,119892,14148561,52906620,3966573366,3966573366
1691279469094,sensor,all,0,4,2101089,277538,7477243,28048176,3966553405,3966553405
1691279469094,sensor,all,0,5,970895,117965,2724096,10214568,3966610355,3966610355
1691279469094,sensor,all,0,6,4751877,223127,11121706,41656992,3966617619,3966617619
1691279469094,sensor,all,0,7,3411646,487729,10501521,39111930,3966617770,3966617770
1691279469094,sensor,all,0,8,2081286,265267,7524426,27379560,3966556055,3966556055
1691279469094,sensor,all,0,9,6918866,145748,4922603,18462366,3966546357,3966546357
1691279469094,sensor,all,0,0,2349263,163106,6993712,26040144,3966576497,3966576497
1691279469094,sensor,all,0,1,313766,31459,1236638,4632186,3966575764,3966575764
1691279469094,sensor,all,0,2,2225098,166028,6035391,22611732,3966573368,3966573368
1691279470095,sensor,all,0,3,1690972,172828,6102228,22855794,4966875461,4966875461
1691279470095,sensor,all,0,11,63223474,564752,36063448,63528036,4966918276,4966918276
1691279470095,sensor,all,0,10,38154361,130671,15080080,51748476,4967007359,4967007359
1691279470095,sensor,all,0,4,661860,74259,3123111,11692278,4966981697,4966981697
1691279470095,sensor,all,0,5,1722750,164746,4457609,16701438,4966991821,4966991821
1691279470095,sensor,all,0,6,4632181,241549,10215608,38051676,4967010738,4967010738
1691279470095,sensor,all,0,7,3097373,752969,11981913,44619432,4967006948,4967006948
1691279470095,sensor,all,0,8,8374092,356847,11691348,42244176,4966949705,4966949705
1691279470095,sensor,all,0,9,16438226,144634,7273075,26841984,4966943140,4966943140
1691279470095,sensor,all,0,0,3996512,195329,8110833,29957616,4966965021,4966965021
1691279470095,sensor,all,0,1,311261,16347,801574,2983578,4966968687,4966968687
