timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,LLC_MISSES,UNHALTED_CORE_CYCLES,UNHALTED_REFERENCE_CYCLES,time_enabled,time_running
1693952586127,sensor,all,0,3,15329,45,36355,120120,802514,802514
1693952586127,sensor,all,0,11,5215,7,25079,77376,779579,779579
1693952586127,sensor,all,0,10,110568,938,613131,2299206,780988,780988
1693952586127,sensor,all,0,4,3572,1,55201,193440,798702,798702
1693952586127,sensor,all,0,5,3929,12,17211,52026,762738,762738
1693952586127,sensor,all,0,6,5259,25,38553,125658,749235,749235
1693952586127,sensor,all,0,7,5898,51,26609,83148,728096,728096
1693952586127,sensor,all,0,8,3638,3,43908,150306,768589,768589
1693952586127,sensor,all,0,9,3675,14,22355,73086,741870,741870
1693952586127,sensor,all,0,0,3868,5,65003,226824,764676,764676
1693952586127,sensor,all,0,1,112689,1186,84555,306618,743287,743287
1693952586127,sensor,all,0,2,5104,4,46896,158262,793268,793268
1693952587127,sensor,all,0,3,11506677,288293,16742982,57760404,974353140,974353140
1693952587127,sensor,all,0,11,95555482,542601,54114825,131191866,974338640,974338640
1693952587127,sensor,all,0,10,18349972,160003,13489764,42166800,974344115,974344115
1693952587127,sensor,all,0,4,7055058,406038,16381637,57325632,974354405,974354405
1693952587127,sensor,all,0,5,18545070,670497,26465063,82346784,974383190,974383190
1693952587127,sensor,all,0,6,105138453,474948,55234552,73976760,974376507,974376507
1693952587127,sensor,all,0,7,20847265,184182,20414389,44120622,974360357,974360357
1693952587127,sensor,all,0,8,44052496,301387,25635274,66600768,974392666,974392666
1693952587127,sensor,all,0,9,5946722,477739,14383880,46265778,974381281,974381281
1693952587127,sensor,all,0,0,5020263,231583,20752910,50152206,974367308,974367308
1693952587127,sensor,all,0,1,85479672,367280,49105080,101490714,974353895,974353895
1693952587127,sensor,all,0,2,5746015,136828,11669470,31853874,974363121,974363121
1693952588128,sensor,all,0,3,4529493,252699,11324966,41456766,1975006473,1975006473
1693952588128,sensor,all,0,11,71270030,816285,63749139,113239230,1974995421,1974995421
1693952588128,sensor,all,0,10,5435431,64670,9190309,24606582,1975003653,1975003653
1693952588128,sensor,all,0,4,19931806,796254,32146220,118361724,1975014201,1975014201
1693952588128,sensor,all,0,5,7217047,347427,12552168,45982872,1974989010,1974989010
1693952588128,sensor,all,0,6,1438775,147843,5978090,22231404,1974983397,1974983397
1693952588128,sensor,all,0,7,6309403,153591,9144100,33568158,1974990489,1974990489
1693952588128,sensor,all,0,8,47478592,314825,23987248,70313724,1975039469,1975039469
1693952588128,sensor,all,0,9,3590854,634797,12967529,47607612,1975021858,1975021858
1693952588128,sensor,all,0,0,3890474,187674,11045011,39224562,1975069922,1975069922
1693952588128,sensor,all,0,1,62321416,281337,30817343,51045540,1975051449,1975051449
1693952588128,sensor,all,0,2,2329459,132101,9410243,34632936,1975143904,1975143904
1693952589129,sensor,all,0,3,6114418,258329,10221016,37949886,2975544376,2975544376
1693952589129,sensor,all,0,11,76638639,234694,30567481,108883632,2975536911,2975536911
1693952589129,sensor,all,0,10,33567356,137471,23240353,60208356,2975579225,2975579225
1693952589129,sensor,all,0,4,10577249,665228,21770667,78083772,2975593239,2975593239
1693952589129,sensor,all,0,5,16878941,622008,21546075,78441246,2975631232,2975631232
1693952589129,sensor,all,0,6,107543331,591690,60402567,95776512,2975660475,2975660475
1693952589129,sensor,all,0,7,1774697,69141,3032104,11209926,2975640772,2975640772
1693952589129,sensor,all,0,8,42090812,170388,18817753,53107314,2975676919,2975676919
1693952589129,sensor,all,0,9,4127471,647675,13965897,51108252,2975673625,2975673625
1693952589129,sensor,all,0,0,4077049,220265,21188737,44853276,2975708383,2975708383
1693952589129,sensor,all,0,1,64605463,331838,35471735,64358970,2975687844,2975687844
1693952589129,sensor,all,0,2,3707200,111912,8771987,31187988,2975729589,2975729589
1693952590129,sensor,all,0,3,2387215,157999,5373528,19951230,3976150498,3976150498
1693952590129,sensor,all,0,11,1817932,218088,7300685,27390480,3976143559,3976143559
1693952590129,sensor,all,0,10,14921016,136353,9680777,29494998,3976156469,3976156469
1693952590129,sensor,all,0,4,14708777,691792,20308395,74384622,3976168943,3976168943
1693952590129,sensor,all,0,5,5458258,622578,17380142,64619412,3976147268,3976147268
1693952590129,sensor,all,0,6,104300494,686015,61806015,93241746,3976144770,3976144770
1693952590129,sensor,all,0,7,1373504,57241,2132751,7991724,3976130448,3976130448
1693952590129,sensor,all,0,8,37565033,104384,13660771,33220590,3976166563,3976166563
1693952590129,sensor,all,0,9,3521535,651470,12627490,46614360,3976160442,3976160442
1693952590129,sensor,all,0,0,58780624,519613,35655338,69682392,3976198583,3976198583
1693952590129,sensor,all,0,1,2349146,72354,3677401,13640718,3976181452,3976181452
1693952590129,sensor,all,0,2,2107542,137248,6690556,24877320,3976224316,3976224316
1693952591130,sensor,all,0,3,780462,68531,2097292,7856316,4976592351,4976592351
1693952591130,sensor,all,0,11,2190529,268967,9028277,32750016,4976581613,4976581613
1693952591130,sensor,all,0,10,2357195,67070,4756924,15808728,4976587820,4976587820
1693952591130,sensor,all,0,4,7861705,565257,17618184,61755018,4976606578,4976606578
1693952591130,sensor,all,0,5,3976125,440346,12670621,47163870,4976639837,4976639837
1693952591130,sensor,all,0,6,4416807,322775,13268638,49658466,4976651370,4976651370
1693952591130,sensor,all,0,7,1465444,76161,2492163,9342528,4976647999,4976647999
1693952591130,sensor,all,0,8,39034475,346747,20368324,60467706,4976700823,4976700823
1693952591130,sensor,all,0,9,3486305,723461,12970758,48142536,4976700006,4976700006
1693952591130,sensor,all,0,0,58263855,358242,31632648,53625390,4976732934,4976732934
1693952591130,sensor,all,0,1,4847109,74974,5323522,19932198,4976712888,4976712888
1693952591130,sensor,all,0,2,1453317,133859,4727221,17706468,4976754275,4976754275
1693952592130,sensor,all,0,3,4014222,265912,9494080,35385948,5977053988,5977053988
1693952592130,sensor,all,0,11,2250758,180095,8314360,29993106,5977040588,5977040588
1693952592130,sensor,all,0,10,12416944,77734,6996298,19483308,5977053526,5977053526
1693952592130,sensor,all,0,4,8054996,387370,14486522,52448604,5977065675,5977065675
1693952592130,sensor,all,0,5,6702634,401556,10112701,37589526,5977044108,5977044108
1693952592130,sensor,all,0,6,101391758,447277,53065790,57584124,5977041557,5977041557
1693952592130,sensor,all,0,7,1376789,59178,2074004,7773402,5977036944,5977036944
1693952592130,sensor,all,0,8,44018981,726308,33795385,107798886,5977021613,5977021613
1693952592130,sensor,all,0,9,3722909,626407,12804149,47205288,5976992380,5976992380
1693952592130,sensor,all,0,0,58883215,377782,32632784,51051936,5977014084,5977014084
1693952592130,sensor,all,0,1,1051625,39981,1892893,7095972,5977016918,5977016918
1693952592130,sensor,all,0,2,1564897,130742,6266173,23454756,5977062089,5977062089
1693952593131,sensor,all,0,3,3975588,289119,9305870,34373274,6977536143,6977536143
1693952593131,sensor,all,0,11,9175507,507001,15758565,57988476,6977520507,6977520507
1693952593131,sensor,all,0,10,8557993,76073,6640901,19394310,6977531140,6977531140
1693952593131,sensor,all,0,4,5735906,377888,11828605,41198430,6977546669,6977546669
1693952593131,sensor,all,0,5,611717,27039,1763096,6471894,6977584398,6977584398
1693952593131,sensor,all,0,6,101783304,461218,53675812,58933992,6977587159,6977587159
1693952593131,sensor,all,0,7,1543579,63662,2475699,9118824,6977570679,6977570679
1693952593131,sensor,all,0,8,41734058,672999,30609234,97403670,6977606079,6977606079
1693952593131,sensor,all,0,9,3566021,696147,12614273,46302984,6977605259,6977605259
1693952593131,sensor,all,0,0,58087943,355670,31778530,47506758,6977637177,6977637177
1693952593131,sensor,all,0,1,1169057,45896,2367041,8159736,6977627993,6977627993
1693952593131,sensor,all,0,2,1063727,82620,4902460,18087264,6977667966,6977667966
1693952594131,sensor,all,0,3,6206180,296143,12056168,45131346,7978133653,7978133653
1693952594131,sensor,all,0,11,13643231,682480,21671526,80221674,7978125800,7978125800
1693952594131,sensor,all,0,10,2870644,67420,6603382,21453588,7978154318,7978154318
1693952594131,sensor,all,0,4,5783614,143190,10088125,37288680,7978151960,7978151960
1693952594131,sensor,all,0,5,827088,36023,2363739,8855574,7978198209,7978198209
1693952594131,sensor,all,0,6,710017,26687,1936745,7250490,7978203365,7978203365
1693952594131,sensor,all,0,7,3560428,65576,4365713,16358862,7978191100,7978191100
1693952594131,sensor,all,0,8,42788860,622770,31773114,104217360,7978241325,7978241325
1693952594131,sensor,all,0,9,3490705,629233,12596454,46793838,7978226297,7978226297
1693952594131,sensor,all,0,0,1312627,136512,5891695,21940152,7978268293,7978268293
1693952594131,sensor,all,0,1,58598185,454268,33978502,56703270,7978251396,7978251396
1693952594131,sensor,all,0,2,6124414,178009,10623133,39825162,7978306014,7978306014
1693952595132,sensor,all,0,3,4034742,302726,9606040,35651304,8978732440,8978732440
1693952595132,sensor,all,0,11,17865615,993564,26032213,95777916,8978721372,8978721372
1693952595132,sensor,all,0,10,7227466,115119,8000419,24490908,8978737187,8978737187
1693952595132,sensor,all,0,4,2098909,158136,7634531,25748736,8978745558,8978745558
1693952595132,sensor,all,0,5,3366843,412232,11033744,41149680,8978727674,8978727674
1693952595132,sensor,all,0,6,100947833,411543,52122698,52867542,8978747780,8978747780
1693952595132,sensor,all,0,7,1400340,60199,2259249,8450208,8978744904,8978744904
1693952595132,sensor,all,0,8,38955754,329008,19790986,57813678,8978785103,8978785103
1693952595132,sensor,all,0,9,3587466,731414,13119722,48262110,8978768179,8978768179
1693952595132,sensor,all,0,0,1394996,133946,6297788,23612784,8978803685,8978803685
1693952595132,sensor,all,0,1,63560310,376540,34556852,57073692,8978784037,8978784037
1693952595132,sensor,all,0,2,1669611,142478,7046782,26227188,8978832652,8978832652
1693952596132,sensor,all,0,3,4187846,297576,10377710,38521704,9979341026,9979341026
1693952596132,sensor,all,0,11,11135278,704211,16853412,60192054,9979336235,9979336235
1693952596132,sensor,all,0,10,7658465,97598,7506911,21368802,9979359155,9979359155
1693952596132,sensor,all,0,4,1643776,119728,6381240,21846708,9979375840,9979375840
1693952596132,sensor,all,0,5,3882478,397647,11389709,41839902,9979348650,9979348650
1693952596132,sensor,all,0,6,101484099,466486,51958870,66326130,9979350219,9979350219
1693952596132,sensor,all,0,7,58944318,326632,29653631,43746924,9979334200,9979334200
1693952596132,sensor,all,0,8,40213298,371338,20620991,59422116,9979377399,9979377399
1693952596132,sensor,all,0,9,4827231,693949,14213481,52143234,9979374032,9979374032
1693952596132,sensor,all,0,0,1424709,149485,6107183,22293336,9979403963,9979403963
1693952596132,sensor,all,0,1,44195557,171605,32475738,55462290,9979383337,9979383337
1693952596132,sensor,all,0,2,1600884,136011,7166168,26113620,9979436224,9979436224
1693952597133,sensor,all,0,3,4024089,293554,9434925,35362080,10979938795,10979938795
1693952597133,sensor,all,0,11,6173394,580726,12035174,43026204,10979931547,10979931547
1693952597133,sensor,all,0,10,2173110,117894,6820442,21643596,10979940711,10979940711
1693952597133,sensor,all,0,4,2102040,282993,10291857,36739170,10979955983,10979955983
1693952597133,sensor,all,0,5,3663845,377779,12011158,44852886,10979991281,10979991281
1693952597133,sensor,all,0,6,221201,23287,1171820,4389762,10979990233,10979990233
1693952597133,sensor,all,0,7,1324118,54427,2019858,7550010,10979974551,10979974551
1693952597133,sensor,all,0,8,38899199,347939,19499307,55670940,10980014093,10980014093
1693952597133,sensor,all,0,9,2953700,548682,9723360,35784528,10980021430,10980021430
1693952597133,sensor,all,0,0,2714918,129150,7708645,28574364,10980056329,10980056329
1693952597133,sensor,all,0,1,58739480,469934,34045474,60870732,10980036104,10980036104
1693952597133,sensor,all,0,2,992558,68609,5532028,20554248,10980081512,10980081512
1693952598134,sensor,all,0,3,4365662,268754,10415034,37296090,11980477307,11980477307
1693952598134,sensor,all,0,11,27944398,1027182,38537805,116869194,11980464887,11980464887
1693952598134,sensor,all,0,10,6908831,95866,8339429,24322662,11980472925,11980472925
1693952598134,sensor,all,0,4,5091219,676589,19585378,70604040,11980488219,11980488219
1693952598134,sensor,all,0,5,7861651,530776,19003477,70421130,11980525509,11980525509
1693952598134,sensor,all,0,6,102471342,510997,57271946,68819790,11980519410,11980519410
1693952598134,sensor,all,0,7,5639916,128191,8134449,26292396,11980499650,11980499650
1693952598134,sensor,all,0,8,51536920,443362,28766221,81464214,11980545829,11980545829
1693952598134,sensor,all,0,9,931401,39551,8420430,10408788,11980539528,11980539528
1693952598134,sensor,all,0,0,59149315,309223,33679446,56185272,11980586929,11980586929
1693952598134,sensor,all,0,1,10071497,251420,16951432,56086602,11980581144,11980581144
1693952598134,sensor,all,0,2,1425214,42362,6461065,22333116,11980630102,11980630102
1693952599134,sensor,all,0,3,3935891,276327,9243692,34454628,12980891091,12980891091
1693952599134,sensor,all,0,11,5050544,507863,13358311,48118434,12980876701,12980876701
1693952599134,sensor,all,0,10,7022719,99886,7374573,23987574,12980879045,12980879045
1693952599134,sensor,all,0,4,6353242,757109,21418460,78340392,12980896163,12980896163
1693952599134,sensor,all,0,5,15753807,953133,27686584,100874982,12980943256,12980943256
1693952599134,sensor,all,0,6,101912423,550425,54623013,77803830,12980957466,12980957466
1693952599134,sensor,all,0,7,1414431,56843,2274117,8524932,12980953291,12980953291
1693952599134,sensor,all,0,8,38078054,220159,15197978,41262780,12980953004,12980953004
1693952599134,sensor,all,0,9,459948,28634,1032213,3851796,12980929732,12980929732
1693952599134,sensor,all,0,0,644558,51310,3104929,11321544,12980977051,12980977051
1693952599134,sensor,all,0,1,63117435,381333,33199529,63765702,12980955003,12980955003
1693952599134,sensor,all,0,2,524621,51172,3603354,13454766,12981008739,12981008739
1693952600135,sensor,all,0,3,4188613,315087,9884321,37057176,13981366070,13981366070
1693952600135,sensor,all,0,11,2237226,315633,11479825,41378844,13981356106,13981356106
1693952600135,sensor,all,0,10,3539987,96062,6736442,24910470,13981361151,13981361151
1693952600135,sensor,all,0,4,3598220,744739,16138180,60290334,13981379837,13981379837
1693952600135,sensor,all,0,5,6197109,498962,10782663,40446978,13981407809,13981407809
1693952600135,sensor,all,0,6,1822242,135732,6850364,25689846,13981417090,13981417090
1693952600135,sensor,all,0,7,1395507,69824,2244893,8410662,13981413880,13981413880
1693952600135,sensor,all,0,8,41676703,703944,29053743,92964924,13981472777,13981472777
1693952600135,sensor,all,0,9,420890,29096,856564,3198936,13981457593,13981457593
1693952600135,sensor,all,0,0,57253858,278008,27597348,41267460,13981499828,13981499828
1693952600135,sensor,all,0,1,2009792,173506,5737438,21491184,13981490504,13981490504
1693952600135,sensor,all,0,2,684214,53817,4109585,15403284,13981542925,13981542925
1693952601135,sensor,all,0,3,57938644,317751,28604480,43302168,14982048166,14982048166
1693952601135,sensor,all,0,11,3071315,364381,15004398,55369860,14982042616,14982042616
1693952601135,sensor,all,0,10,7303194,72655,7214848,24098334,14982064496,14982064496
1693952601135,sensor,all,0,4,5198023,738059,19766632,72053124,14982065065,14982065065
1693952601135,sensor,all,0,5,12310335,658446,16533821,60533538,14982107470,14982107470
1693952601135,sensor,all,0,6,103586813,604112,58169315,88918986,14982118462,14982118462
1693952601135,sensor,all,0,7,1307529,48988,2050590,7631286,14982102067,14982102067
1693952601135,sensor,all,0,8,41067144,599924,25538090,78345228,14982149959,14982149959
1693952601135,sensor,all,0,9,405074,22760,822354,3074760,14982152246,14982152246
1693952601135,sensor,all,0,0,519507,36285,2333375,8355828,14982196642,14982196642
1693952601135,sensor,all,0,1,1665193,128230,5027151,18748236,14982180389,14982180389
1693952601135,sensor,all,0,2,470589,33238,2852456,10547238,14982233158,14982233158
1693952602136,sensor,all,0,3,1458849,104483,3524094,12898314,15982613805,15982613805
1693952602136,sensor,all,0,11,3893979,426524,14164418,51428286,15982608495,15982608495
1693952602136,sensor,all,0,10,12356204,74059,7558908,23164596,15982619310,15982619310
1693952602136,sensor,all,0,4,7408518,511297,16313092,59429292,15982630960,15982630960
1693952602136,sensor,all,0,5,10450346,648259,17751333,63707514,15982609664,15982609664
1693952602136,sensor,all,0,6,112711465,771486,62453900,139472190,15982602758,15982602758
1693952602136,sensor,all,0,7,1531001,56851,2488389,9162114,15982587922,15982587922
1693952602136,sensor,all,0,8,54170489,631527,34286638,93255474,15982624906,15982624906
1693952602136,sensor,all,0,9,2674471,504759,9592459,34476156,15982627323,15982627323
1693952602136,sensor,all,0,0,57519639,271873,28164006,43469556,15982667821,15982667821
1693952602136,sensor,all,0,1,1672057,146763,5227333,19510140,15982648367,15982648367
1693952602136,sensor,all,0,2,532340,57026,3036548,11327862,15982697554,15982697554
1693952603136,sensor,all,0,3,3988909,291128,9514030,35360286,16983206145,16983206145
1693952603136,sensor,all,0,11,2940898,402388,13563009,48952410,16983198793,16983198793
1693952603136,sensor,all,0,10,2164047,49024,4479690,16526640,16983223648,16983223648
1693952603136,sensor,all,0,4,8342901,623756,19921427,74048130,16983220742,16983220742
1693952603136,sensor,all,0,5,3952389,455891,12153193,45360198,16983276757,16983276757
1693952603136,sensor,all,0,6,470781,31367,1438159,5364138,16983280196,16983280196
1693952603136,sensor,all,0,7,1382732,51664,2089424,7765212,16983264883,16983264883
1693952603136,sensor,all,0,8,38088960,204730,17073015,45261840,16983304779,16983304779
1693952603136,sensor,all,0,9,3408168,640137,12475653,46114302,16983408116,16983408116
1693952603136,sensor,all,0,0,641142,53047,3435480,12731862,16983452158,16983452158
1693952603136,sensor,all,0,1,62968033,511596,36431692,74987952,16983429676,16983429676
1693952603136,sensor,all,0,2,663281,49756,4048010,14780142,16983481756,16983481756
1693952604137,sensor,all,0,3,4081959,284439,9568965,35531262,17983863608,17983863608
1693952604137,sensor,all,0,11,4398394,427189,15370335,52151034,17983851006,17983851006
1693952604137,sensor,all,0,10,14458311,465423,18721839,65414934,17983871339,17983871339
1693952604137,sensor,all,0,4,14135013,858485,22635963,82754022,17983881731,17983881731
1693952604137,sensor,all,0,5,664633,33034,1899150,6675864,17983861089,17983861089
1693952604137,sensor,all,0,6,101026541,428319,51201667,62066550,17983874186,17983874186
1693952604137,sensor,all,0,7,1458373,63195,2252606,8390382,17983854771,17983854771
1693952604137,sensor,all,0,8,39402634,333945,21585254,63315330,17983891724,17983891724
1693952604137,sensor,all,0,9,3395064,666261,12577934,46207980,17983864696,17983864696
1693952604137,sensor,all,0,0,57003422,260971,27369906,40964118,17983890835,17983890835
1693952604137,sensor,all,0,1,1878697,144071,5283545,18915390,17983870057,17983870057
1693952604137,sensor,all,0,2,1517948,122515,6728058,20972562,17983914929,17983914929
1693952605138,sensor,all,0,3,4012065,276877,9723683,36193638,18984248070,18984248070
1693952605138,sensor,all,0,11,2782123,328940,12340573,45584058,18984226955,18984226955
1693952605138,sensor,all,0,10,11570370,595633,21553246,76406616,18984322336,18984322336
1693952605138,sensor,all,0,4,8251154,478159,13411628,48224358,18984273461,18984273461
1693952605138,sensor,all,0,5,507455,20428,1474577,4998006,18984386870,18984386870
