seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65107,4.62,,,16.28665616666276,121.37,0.28824,0.6982,0.0,161597782512.0,3166092.0,0.035436800000000004,2.0,3.48246,4.44,3.0,7.0,11.666656166662758
65108,4.31,,,14.064529374414738,121.37,0.24552,0.5755,0.0,161597782512.0,3166092.0,0.035436800000000004,2.0,3.48246,4.44,3.0,4.5,9.754529374414737
65109,4.9,,,12.909833984546351,121.6,0.19015,0.5055,0.0,161600948604.0,3605337.0,0.05210798333333333,3.0,3.166092,4.17,0.0,3.6,8.00983398454635
65110,5.21,,,14.448418768136335,121.53,0.27412,0.5807,0.0,161604553941.0,3792459.0,0.06878451666666667,4.0,3.605337,4.17,0.0,3.2,9.238418768136334
65111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65112,10.06,,,12.017718232259837,121.89,0.23106,0.536,0.0,161619605797.0,7348327.0,0.1021265,6.0,11.259397,4.17,26.0,2.5,1.957718232259836
65113,4.61,,,13.65532883343105,121.95,0.14596,0.7678,0.0,161626954124.0,3395171.0,0.11880025000000001,7.0,7.348327,3.83,8.0,2.4,9.04532883343105
65114,4.47,,,14.056649267959122,121.87,0.25074,0.6322,0.0,161630349295.0,3282235.0,0.13547941666666666,8.0,3.395171,3.83,8.0,2.3,9.586649267959121
65115,4.95,,,14.260097089851941,121.82,0.14568,0.7921,0.0,161633631530.0,3627394.0,0.1521555,9.0,3.282235,3.83,0.0,2.3,9.31009708985194
65116,4.23,,,12.669420310119023,121.85,0.1235,0.6797,0.0,161637258924.0,3120976.0,0.16882503333333335,10.0,3.627394,3.83,0.0,2.2,8.439420310119022
65117,4.36,,,13.705580516640131,121.78,0.23291,0.5852,0.0,161640379900.0,3207594.0,0.1854974,11.0,3.120976,3.83,0.0,2.0,9.34558051664013
