seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
78068,3.87,,,13.056,,,,,,,,,2.397276,0.98,1.0,9.0,9.186
78069,3.27,,,13.056,,,,,17739208392.0,2752378.0,0.03322576666666667,1.0,2.397276,0.98,1.0,6.0,9.786
78070,3.74,,,13.056,,,,,17739208392.0,2752378.0,0.03322576666666667,1.0,2.397276,0.9,0.0,4.3,9.315999999999999
78071,3.71,,,13.056,,,,,17741960770.0,2800607.0,0.04989436666666667,2.0,2.752378,0.9,0.0,3.7,9.346
78072,7.07,,,13.056,,,,,17744761377.0,5095392.0,0.06658378333333333,3.0,2.800607,0.9,1.0,3.4,5.985999999999999
78073,5.06,,,13.056,,,,,17749856769.0,3749439.0,0.08325003333333333,4.0,5.095392,0.9,1.0,3.0,7.9959999999999996
78074,4.07,,,13.056,123.17,0.14022,0.756,0.0,17753606208.0,2991228.0,0.09993623333333333,5.0,3.749439,0.9,1.0,3.0,8.985999999999999
78075,3.34,,,12.140429223744292,123.17,0.14003,0.6181,0.0,17756597436.0,2466030.0,0.11660835,6.0,2.991228,0.9,1.0,2.8,8.800429223744292
78076,3.25,,,11.913098929358032,123.19,0.16564,0.4115,0.0,17759063466.0,2377978.0,0.13328098333333332,7.0,2.46603,0.83,0.0,2.7,8.663098929358032
78077,3.99,,,12.672729021906704,123.12,0.22077,0.5666,0.0,17761441444.0,2938956.0,0.14995295,8.0,2.377978,0.83,0.0,2.7,8.682729021906704
78078,3.38,,,13.376835687866002,123.13,0.15845,0.6067,0.0,17764380400.0,2476686.0,0.16662646666666667,9.0,2.938956,0.83,0.0,2.6,9.996835687866003
78079,3.19,,,11.025037658733504,123.13,0.16929,0.4053,0.0,17766857086.0,2345575.0,0.18329951666666666,10.0,2.476686,0.83,0.0,2.5,7.835037658733505
78080,3.22,,,10.572958413435492,123.12,0.16869,0.4464,0.0,17769202661.0,2377021.0,0.1999746666666667,11.0,2.345575,0.76,0.0,2.4,7.352958413435491
78081,4.01,,,10.529414253676258,123.13,0.16993,0.4261,0.0,17771579682.0,2941438.0,0.2166485,12.0,2.377021,0.76,0.0,2.4,6.519414253676258
78082,3.88,,,11.839602333850156,123.1,0.18429,0.507,0.0,17774521120.0,2810176.0,0.2333232,13.0,2.941438,0.76,0.0,2.3,7.959602333850156
78083,5.18,,,12.616960775136503,123.08,0.23981,0.5771,0.0,17777331296.0,3852352.0,0.24999549999999998,14.0,2.810176,0.76,0.0,2.3,7.436960775136503
78084,4.13,,,13.436330627362947,123.08,0.13171,0.7664,0.0,17781183648.0,3083291.0,0.26666901666666665,16.0,3.852352,0.76,2.0,2.2,9.306330627362946
78085,3.3,,,12.146101001867644,123.13,0.18468,0.4976,0.0,17784266939.0,2377489.0,0.28334515,17.0,3.083291,0.76,2.0,2.2,8.846101001867645
78086,3.46,,,10.541061966390792,123.15,0.16753,0.4468,0.0,17786644428.0,2536896.0,0.3000187833333333,18.0,2.377489,0.7,0.0,2.2,7.081061966390792
78087,3.76,,,11.340093088189636,123.15,0.1699,0.4532,0.0,17789181324.0,2763374.0,0.31669359999999996,19.0,2.536896,0.7,0.0,2.2,7.580093088189637
78088,3.25,,,11.69836095155726,123.17,0.16242,0.4376,0.0,17791944698.0,2393143.0,0.33336851666666667,20.0,2.763374,0.7,0.0,2.1,8.44836095155726
78089,3.44,,,11.289204364171955,123.2,0.16674,0.4117,0.0,17794337841.0,2537697.0,0.35004445,21.0,2.393143,0.7,0.0,2.1,7.849204364171955
78090,3.63,,,11.33180836784511,123.18,0.16325,0.4089,0.0,17796875538.0,2636226.0,0.3667196166666667,22.0,2.537697,0.64,0.0,2.1,7.70180836784511
78091,3.66,,,11.456105689124811,123.15,0.17074,0.4245,0.0,17799511764.0,2691481.0,0.3833957333333334,23.0,2.636226,0.64,0.0,2.0,7.796105689124811
78092,3.73,,,12.161920275965958,123.15,0.1945,0.4928,0.0,17802203245.0,2687823.0,0.40006681666666666,24.0,2.691481,0.64,0.0,2.0,8.431920275965958
78093,3.85,,,13.184380858261893,123.15,0.22852,0.5831,0.0,17804891068.0,2895004.0,0.41673926666666666,25.0,2.687823,0.64,0.0,2.0,9.334380858261893
78094,3.44,,,13.790619744069032,123.13,0.13593,0.7806,0.0,17807786072.0,2564740.0,0.4334173333333334,26.0,2.895004,0.64,0.0,2.0,10.350619744069032
78095,3.54,,,13.422590900550922,123.11,0.13935,0.7828,0.0,17810350812.0,2578476.0,0.4500819833333333,27.0,2.56474,0.64,0.0,2.0,9.882590900550923
78096,3.36,,,11.479148075222211,123.08,0.22791,0.5816,0.0,17812929288.0,2445423.0,0.46677118333333334,28.0,2.578476,0.59,0.0,2.0,8.119148075222212
78097,3.17,,,11.146516452860851,123.15,0.16728,0.4124,0.0,17815374711.0,2350773.0,0.4834407333333333,29.0,2.445423,0.59,0.0,2.0,7.976516452860851
78098,3.79,,,11.283899300331893,123.17,0.16232,0.4067,0.0,17817725484.0,2779297.0,0.5001289166666667,30.0,2.350773,0.59,0.0,2.0,7.4938993003318926
78099,3.39,,,11.628238422009687,123.14,0.18241,0.4813,0.0,17820504781.0,2477688.0,0.5168029,31.0,2.779297,0.59,0.0,2.0,8.238238422009687
78100,3.47,,,10.911144245124527,123.15,0.17586,0.4752,0.0,17822982469.0,2568384.0,0.5334779333333334,32.0,2.477688,0.54,0.0,2.0,7.441144245124526
78101,3.16,,,10.844401633254398,123.13,0.17822,0.4825,0.0,17825550853.0,2317475.0,0.5501513833333332,33.0,2.568384,0.54,0.0,1.9,7.684401633254398
78102,3.26,,,10.286893832144381,123.15,0.16349,0.4147,0.0,17827868328.0,2329468.0,0.5668263499999999,34.0,2.317475,0.54,0.0,1.9,7.026893832144381
78103,3.6,,,11.089417809097865,123.16,0.1677,0.4203,0.0,17830197796.0,2715716.0,0.5834990833333333,35.0,2.329468,0.54,0.0,1.9,7.489417809097866
78104,3.32,,,13.208028215964397,123.14,0.13125,0.7587,0.0,17832913512.0,2365944.0,0.6001745333333334,36.0,2.715716,0.54,0.0,1.9,9.888028215964397
78105,3.21,,,13.025773874653053,123.14,0.13508,0.7724,0.0,17835279456.0,2410360.0,0.6168424,37.0,2.365944,0.54,0.0,1.9,9.815773874653054
78106,3.12,,,12.655005007304196,123.09,0.22452,0.5806,0.0,17837689816.0,2299189.0,0.6335326666666667,38.0,2.41036,0.5,0.0,1.9,9.535005007304196
78107,3.1,,,11.412368502253736,123.17,0.16371,0.4031,0.0,17839989005.0,2285323.0,0.6502008666666667,39.0,2.299189,0.5,0.0,1.9,8.312368502253737
78108,3.48,,,10.824336277391122,123.16,0.15925,0.402,0.0,17842274328.0,2565063.0,0.6668768,40.0,2.285323,0.5,0.0,1.9,7.344336277391122
78109,3.52,,,12.35820064020161,123.15,0.20416,0.5457,0.0,17844839391.0,2580590.0,0.6835499166666666,41.0,2.565063,0.5,0.0,1.9,8.83820064020161
78110,3.1,,,10.989782373712409,123.19,0.15953,0.4004,0.0,17847419981.0,2266981.0,0.7002256333333333,42.0,2.58059,0.46,0.0,1.8,7.889782373712409
78111,3.52,,,11.48088304792835,123.18,0.16723,0.4082,0.0,17849686962.0,2588814.0,0.7169026333333334,43.0,2.266981,0.46,0.0,1.8,7.96088304792835
78112,3.33,,,13.298102219807598,123.12,0.22306,0.5794,0.0,17852275776.0,2387249.0,0.7335685000000001,44.0,2.588814,0.46,0.0,1.8,9.968102219807598
78113,4.35,,,11.682123142975804,123.18,0.16698,0.4127,0.0,17854663025.0,3242479.0,0.75026055,45.0,2.387249,0.46,0.0,1.8,7.332123142975805
78114,3.31,,,11.092089766628488,123.16,0.17722,0.47,0.0,17857905504.0,2428988.0,0.7669335833333334,46.0,3.242479,0.46,0.0,1.8,7.782089766628488
78115,3.25,,,11.4831141529675,123.16,0.18649,0.5132,0.0,17860334492.0,2441012.0,0.78360615,47.0,2.428988,0.46,0.0,1.8,8.2331141529675
78116,3.43,,,11.184771608127498,123.2,0.16442,0.4087,0.0,17862775504.0,2479662.0,0.80027975,48.0,2.441012,0.42,0.0,1.8,7.754771608127498
78117,4.71,,,11.535707563111414,123.17,0.16149,0.3938,0.0,17865255166.0,3420966.0,0.8169539,49.0,2.479662,0.42,0.0,1.8,6.825707563111414
78118,5.9,,,14.19425528590305,123.14,0.23688,0.5435,0.0,17868676132.0,4337404.0,0.8336291833333332,50.0,3.420966,0.42,0.0,1.8,8.29425528590305
78119,5.94,,,18.55149979414532,123.1,0.1788,0.8679,0.0,17873013536.0,4363108.0,0.8503041666666667,51.0,4.337404,0.42,0.0,1.8,12.61149979414532
78120,6.14,,,19.354689800574292,123.1,0.18171,0.8708,0.0,17877376644.0,4511196.0,0.8669779666666667,52.0,4.363108,0.39,0.0,1.8,13.214689800574291
78121,6.03,,,19.52542842111789,123.08,0.18041,0.8543,0.0,17881887840.0,4458012.0,0.8836519,53.0,4.511196,0.39,0.0,1.8,13.49542842111789
78122,5.19,,,19.734590463910404,123.08,0.18067,0.8708,0.0,17886345852.0,3763464.0,0.9003278166666667,54.0,4.458012,0.39,1.0,1.8,14.544590463910403
78123,3.56,,,14.971793870384888,123.12,0.2246,0.5764,0.0,17890109316.0,2722028.0,0.9169977666666667,55.0,3.763464,0.39,1.0,1.8,11.411793870384887
78124,3.2,,,11.623625908279411,123.16,0.16826,0.4596,0.0,17892831344.0,2338219.0,0.9336712333333334,56.0,2.722028,0.39,0.0,1.8,8.423625908279412
78125,3.21,,,10.918712180577886,123.15,0.16376,0.411,0.0,17895169563.0,2373489.0,0.9503430833333333,57.0,2.338219,0.39,0.0,1.8,7.708712180577886
78126,3.61,,,10.93530099455675,123.16,0.16157,0.4049,0.0,17897543052.0,2658701.0,0.9670184666666667,58.0,2.373489,0.36,0.0,1.8,7.32530099455675
78127,3.07,,,12.324827668793077,123.1,0.20612,0.5203,0.0,17900201753.0,2268595.0,0.9836936000000001,59.0,2.658701,0.36,0.0,1.8,9.254827668793077
78128,3.33,,,10.664312823277216,123.12,0.15978,0.4047,0.0,17902470348.0,2396360.0,1.0003705333333335,60.0,2.268595,0.36,0.0,1.8,7.334312823277216
78129,3.65,,,11.40442590886886,123.15,0.16966,0.4136,0.0,17904866708.0,2708028.0,1.0170469500000001,61.0,2.39636,0.36,0.0,1.8,7.7544259088688605
78130,3.15,,,12.144793560719414,123.13,0.18886,0.5554,0.0,17907574736.0,2339890.0,1.0337228166666668,62.0,2.708028,0.33,0.0,1.8,8.994793560719414
78131,3.6,,,11.853140133928731,123.16,0.16877,0.4136,0.0,17909914626.0,2621597.0,1.0503981333333334,63.0,2.33989,0.33,0.0,1.8,8.253140133928731
78132,4.49,,,11.96404384615629,123.15,0.16944,0.4312,0.0,17912536223.0,3201748.0,1.0670723333333332,64.0,2.621597,0.33,0.0,1.8,7.47404384615629
78133,4.28,,,14.211674727462128,123.14,0.22331,0.585,0.0,17915737971.0,3238263.0,1.0837451833333334,65.0,3.201748,0.33,0.0,1.8,9.931674727462127
78134,3.38,,,12.357654602063656,123.18,0.16535,0.4046,0.0,17918976234.0,2469390.0,1.1004180833333335,66.0,3.238263,0.33,1.0,1.8,8.977654602063655
78135,5.67,,,12.030735869955484,123.15,0.17432,0.4747,0.0,17921445624.0,4041216.0,1.1170925666666667,67.0,2.46939,0.33,1.0,1.8,6.360735869955484
78136,15.06,,,16.289792982376316,123.07,0.16759,0.8124,0.0,17925486840.0,9328944.0,1.1337489166666666,68.0,4.041216,0.3,5.0,1.8,1.2297929823763152
78137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78138,48.33,,,70.81850188181598,122.62,0.7658,0.9822,0.0,17974519930.0,36572346.0,1.1670930166666666,70.0,39.704146,0.3,29.0,1.9,22.488501881815978
78139,43.83,,,72.03744650182402,122.78,0.56072,0.9773,0.0,18011092276.0,31692692.0,1.1837729333333333,71.0,36.572346,0.3,29.0,1.9,28.207446501824023
78140,51.24,,,69.67660850508794,122.59,0.65443,0.9795,0.0,18042784968.0,37078776.0,1.2004491166666669,72.0,31.692692,0.44,21.0,1.9,18.43660850508794
78141,50.09,,,76.73381650207162,122.55,0.79209,0.9837,0.0,18079863744.0,37968171.0,1.2171192666666668,73.0,37.078776,0.44,21.0,1.9,26.643816502071616
78142,15.94,,,74.29140124214739,122.49,0.53345,0.9788,0.0,18117831915.0,12539877.0,1.2337987833333335,74.0,37.968171,0.44,16.0,1.9,58.35140124214739
78143,32.18,,,38.48173763823958,122.93,0.32497,0.6272,0.0,18130371792.0,22829184.0,1.2504827666666667,75.0,12.539877,0.44,16.0,1.9,6.3017376382395796
78144,45.13,,,48.925724206941325,122.75,0.48341,0.9602,0.0,18153200976.0,33189960.0,1.2671613833333335,76.0,22.829184,0.44,14.0,1.8,3.7957242069413226
78145,34.98,,,63.421106382086606,122.71,0.55216,0.9795,0.0,18186390936.0,26218120.0,1.2838340333333333,77.0,33.18996,0.44,14.0,1.8,28.44110638208661
78146,57.94,,,59.09798504233899,122.73,0.52982,0.9745,0.0,18212609056.0,40866800.0,1.3005156500000001,78.0,26.21812,0.48,22.0,1.8,1.1579850423389928
78147,72.37,,,81.68819950866559,122.52,0.813,0.9862,0.0,18253475856.0,52994352.0,1.3171856833333335,79.0,40.8668,0.48,22.0,1.8,9.318199508665586
78148,55.51,,,102.3674457020306,122.4,0.94003,0.9844,0.0,18306470208.0,42641906.0,1.3338547166666668,80.0,52.994352,0.48,42.0,1.8,46.857445702030596
78149,40.89,,,87.40299751305753,122.64,0.61507,0.976,0.0,18349112114.0,29217090.0,1.3505342833333331,81.0,42.641906,0.48,42.0,1.8,46.51299751305753
78150,40.78,,,69.77656420288511,122.71,0.57949,0.9765,0.0,18378329204.0,31474684.0,1.3672117333333333,82.0,29.21709,0.77,22.0,1.8,28.99656420288511
78151,26.2,,,62.47539696511272,122.88,0.39165,0.9601,0.0,18409803888.0,19252668.0,1.3838843666666667,83.0,31.474684,0.77,22.0,1.8,36.27539696511272
78152,23.45,,,49.12321881132356,122.9,0.36093,0.9601,0.0,18429056556.0,17122032.0,1.4005571,84.0,19.252668,0.77,25.0,1.8,25.67321881132356
78153,24.39,,,44.20600513659878,122.83,0.42936,0.9664,0.0,18446178588.0,18421440.0,1.4172287166666666,85.0,17.122032,0.77,25.0,1.8,19.816005136598783
78154,22.38,,,43.33237123329737,122.91,0.3472,0.9242,0.0,18464600028.0,16686912.0,1.4339094333333333,86.0,18.42144,0.77,25.0,1.8,20.952371233297374
78155,29.15,,,40.1363466331147,122.94,0.29231,0.9343,0.0,18481286940.0,20042496.0,1.4505910166666667,87.0,16.686912,0.77,25.0,1.8,10.9863466331147
78156,33.45,,,46.26049682661084,122.79,0.44921,0.9697,0.0,18501329436.0,24790572.0,1.4672615333333332,88.0,20.042496,0.95,33.0,1.8,12.810496826610837
78157,27.57,,,51.13328898806926,122.83,0.41593,0.967,0.0,18526120008.0,21285804.0,1.4839323,89.0,24.790572,0.95,33.0,1.8,23.56328898806926
78158,22.1,,,48.47298498603543,122.82,0.37375,0.9526,0.0,18547405812.0,15538572.0,1.5006130833333333,90.0,21.285804,0.95,27.0,1.8,26.372984986035426
78159,38.89,,,40.61371729514711,122.82,0.39359,0.9441,0.0,18562944384.0,28033836.0,1.5172844499999998,91.0,15.538572,0.95,27.0,1.8,1.723717295147111
78160,38.64,,,56.48867932256483,122.73,0.51661,0.9754,0.0,18590978220.0,28654344.0,1.5339539500000001,92.0,28.033836,1.43,52.0,1.7,17.848679322564827
78161,34.21,,,61.01265750534781,122.71,0.51644,0.9764,0.0,18619632564.0,25474352.0,1.5506243833333333,93.0,28.654344,1.43,52.0,1.8,26.80265750534781
78162,23.23,,,56.531407967034,122.79,0.44131,0.9646,0.0,18645106916.0,17726968.0,1.5672964166666667,94.0,25.474352,1.43,35.0,1.8,33.301407967033995
78163,17.45,,,43.100103352884865,122.95,0.2713,0.9388,0.0,18662833884.0,12887076.0,1.5839756166666668,95.0,17.726968,1.43,35.0,1.7,25.650103352884866
78164,19.62,,,36.438390415027655,122.86,0.36223,0.953,0.0,18675720960.0,14033476.0,1.6006561833333335,96.0,12.887076,1.43,16.0,1.7,16.818390415027654
78165,20.2,,,35.43599953864815,122.88,0.3542,0.9518,0.0,18689754436.0,15239948.0,1.6173332999999999,97.0,14.033476,1.43,16.0,1.7,15.235999538648148
78166,26.68,,,35.025600789229415,122.95,0.26135,0.9245,0.0,18704994384.0,18772332.0,1.6340130166666667,98.0,15.239948,1.56,23.0,1.7,8.345600789229415
78167,35.84,,,42.51206034949398,122.82,0.42201,0.9684,0.0,18723766716.0,25855428.0,1.6506861000000002,99.0,18.772332,1.56,23.0,1.7,6.672060349493975
78168,34.65,,,53.8526108899135,122.8,0.49915,0.9754,0.0,18749622144.0,25948764.0,1.6673555333333332,100.0,25.855428,1.56,42.0,1.7,19.2026108899135
78169,25.76,,,56.110052274668234,122.86,0.47352,0.9748,0.0,18775570908.0,19412424.0,1.6840260333333332,101.0,25.948764,1.56,42.0,1.7,30.350052274668233
78170,25.24,,,46.246184151147844,122.98,0.33159,0.9318,0.0,18794983332.0,17812416.0,1.7007010166666667,102.0,19.412424,1.59,27.0,1.7,21.006184151147846
78171,37.08,,,44.49625041469061,122.87,0.45888,0.9684,0.0,18812795748.0,26997540.0,1.7173711,103.0,17.812416,1.59,27.0,1.7,7.416250414690609
78172,35.12,,,56.30988462456722,122.84,0.53993,0.9769,0.0,18839793288.0,26276352.0,1.7340412833333334,104.0,26.99754,1.59,47.0,1.7,21.18988462456722
78173,22.67,,,55.87878739835858,122.92,0.43318,0.9663,0.0,18866069640.0,17647908.0,1.7507154666666667,105.0,26.276352,1.59,47.0,1.7,33.20878739835858
78174,11.02,,,42.7143345543459,123.03,0.27792,0.9409,0.0,18883717548.0,8218512.0,1.7673957666666666,106.0,17.647908,1.59,18.0,1.7,31.694334554345904
78175,17.79,,,28.183709326498448,123.03,0.26315,0.9217,0.0,18891936060.0,12604656.0,1.78407455,107.0,8.218512,1.59,18.0,1.7,10.393709326498449
78176,21.11,,,30.471665709292278,123.02,0.26976,0.9383,0.0,18904540716.0,15999780.0,1.8007553666666667,108.0,12.604656,1.62,19.0,1.7,9.361665709292279
78177,21.14,,,35.48189363680108,123.02,0.30685,0.9109,0.0,18920540496.0,14542560.0,1.8174291833333334,109.0,15.99978,1.62,19.0,1.7,14.341893636801082
78178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78179,30.17,,,52.52338005890324,122.83,0.48222,0.9749,0.0,18961771464.0,22995480.0,1.85077295,111.0,26.688408,1.62,29.0,1.7,22.35338005890324
78180,29.39,,,51.299139852142666,122.92,0.41274,0.9671,0.0,18984766944.0,21333372.0,1.8674451333333333,112.0,22.99548,1.73,35.0,1.7,21.909139852142665
78181,34.97,,,49.36246637849945,122.94,0.36598,0.9587,0.0,19006100316.0,24993660.0,1.8841201166666666,113.0,21.333372,1.73,35.0,1.7,14.39246637849945
78182,30.33,,,54.57172747747773,122.81,0.48734,0.9749,0.0,19031093976.0,23770508.0,1.9007895666666668,114.0,24.99366,1.73,38.0,1.7,24.24172747747773
78183,19.25,,,52.56616966734241,122.87,0.41959,0.968,0.0,19054864484.0,14523664.0,1.9174690333333333,115.0,23.770508,1.73,38.0,1.6,33.31616966734241
78184,19.34,,,39.425314137128915,122.99,0.26741,0.9321,0.0,19069388148.0,13077048.0,1.9341434833333333,116.0,14.523664,1.73,17.0,1.6,20.085314137128915
78185,25.53,,,34.78084442432465,122.94,0.3367,0.9439,0.0,19082465196.0,19118052.0,1.9508151833333334,117.0,13.077048,1.73,17.0,1.6,9.250844424324647
78186,24.21,,,41.48239654628035,122.93,0.36325,0.9587,0.0,19101583248.0,18264696.0,1.9674907833333333,118.0,19.118052,1.92,27.0,1.6,17.272396546280348
78187,16.8,,,42.94768491076191,122.95,0.37642,0.9588,0.0,19119847944.0,11783664.0,1.9841671666666667,119.0,18.264696,1.92,27.0,1.6,26.147684910761907
78188,26.91,,,32.92582974707393,123.01,0.2878,0.9045,0.0,19131631608.0,19520220.0,2.0008404166666667,120.0,11.783664,1.92,20.0,1.6,6.015829747073926
78189,20.65,,,42.93765542227245,122.91,0.4139,0.9675,0.0,19151151828.0,16764276.0,2.0175120166666667,121.0,19.52022,1.92,20.0,1.6,22.28765542227245
78190,6.98,,,39.548703266887614,123.02,0.28401,0.8895,0.0,19167916104.0,4831047.0,2.0341932666666667,122.0,16.764276,1.84,15.0,1.6,32.56870326688761
78191,16.14,,,23.322953254379712,123.08,0.21433,0.9027,0.0,19172747151.0,11137689.0,2.0508763166666664,123.0,4.831047,1.84,15.0,1.6,7.182953254379711
78192,21.83,,,28.281170676376572,122.97,0.30169,0.9325,0.0,19183884840.0,16292196.0,2.0675495833333333,124.0,11.137689,1.84,18.0,1.6,6.451170676376574
78193,19.0,,,35.961619979398016,122.99,0.31594,0.9241,0.0,19200177036.0,13183452.0,2.0842294666666668,125.0,16.292196,1.84,18.0,1.6,16.961619979398016
78194,28.81,,,33.06425945705346,123.04,0.27084,0.9396,0.0,19213360488.0,21177300.0,2.1009014833333333,126.0,13.183452,1.84,24.0,1.6,4.254259457053461
