,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,78.0,191.0,31.0,37.0
1,73.0,198.0,26.0,44.0
2,92.0,183.0,22.0,44.0
3,57.0,210.0,17.0,27.0
4,63.0,200.0,32.0,39.0
5,52.0,218.0,13.0,29.0
6,63.0,208.0,19.0,39.0
7,80.0,192.0,19.0,39.0
8,77.0,199.0,17.0,26.0
9,85.0,184.0,29.0,37.0
10,46.0,222.0,18.0,25.0
11,83.0,195.0,17.0,34.0
12,101.0,166.0,39.0,56.0
13,94.0,179.0,29.0,60.0
14,72.0,197.0,25.0,44.0
15,66.0,197.0,37.0,52.0
16,49.0,211.0,36.0,52.0
17,78.0,187.0,32.0,55.0
18,58.0,140.0,16.0,24.0
