08-07-2023 17:50:31 RAM 2628/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [8%@2224,3%@730,2%@730,1%@729,4%@729,1%@720,2%@729,1%@730,7%@729,1%@734,0%@728,7%@729] EMC_FREQ 10%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.531C Tdiode@36.5C SOC2@43.593C SOC0@44.406C CV1@-256C GPU@42.093C SOC1@44.062C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1188mW VIN_SYS_5V0 4119mW/4119mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/803mW NC 0mW/0mW
08-07-2023 17:50:32 RAM 2628/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [7%@728,2%@728,1%@729,1%@720,4%@729,0%@729,0%@745,3%@729,3%@729,0%@711,0%@725,0%@729] EMC_FREQ 5%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.375C Tdiode@36.25C SOC2@43.5C SOC0@44.343C CV1@-256C GPU@42C SOC1@43.906C CV2@-256C VDD_GPU_SOC 4757mW/4756mW VDD_CPU_CV 792mW/990mW VIN_SYS_5V0 4019mW/4069mW NC 0mW/0mW VDDQ_VDD2_1V8AO 702mW/752mW NC 0mW/0mW
08-07-2023 17:50:33 RAM 2625/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [7%@2194,2%@2196,1%@2194,3%@728,5%@730,1%@728,2%@729,1%@731,3%@730,2%@729,0%@729,0%@730] EMC_FREQ 2%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.687C Tdiode@36.5C SOC2@43.531C SOC0@44.406C CV1@-256C GPU@41.875C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 792mW/924mW VIN_SYS_5V0 4019mW/4052mW NC 0mW/0mW VDDQ_VDD2_1V8AO 702mW/735mW NC 0mW/0mW
08-07-2023 17:50:34 RAM 2625/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [5%@2193,1%@729,0%@729,0%@728,4%@707,2%@711,0%@729,1%@729,4%@737,1%@729,0%@729,0%@732] EMC_FREQ 1%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.406C Tdiode@36.5C SOC2@43.5C SOC0@44.437C CV1@-256C GPU@41.968C SOC1@43.937C CV2@-256C VDD_GPU_SOC 4757mW/4756mW VDD_CPU_CV 792mW/891mW VIN_SYS_5V0 4019mW/4044mW NC 0mW/0mW VDDQ_VDD2_1V8AO 703mW/727mW NC 0mW/0mW
08-07-2023 17:50:35 RAM 2625/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [7%@2183,1%@763,0%@728,0%@727,4%@707,2%@735,2%@729,3%@728,3%@729,0%@729,3%@734,2%@730] EMC_FREQ 1%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.562C Tdiode@36.5C SOC2@43.625C SOC0@44.437C CV1@-256C GPU@41.812C SOC1@44C CV2@-256C VDD_GPU_SOC 4757mW/4756mW VDD_CPU_CV 792mW/871mW VIN_SYS_5V0 4126mW/4060mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/743mW NC 0mW/0mW
08-07-2023 17:50:36 RAM 2624/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [7%@739,0%@785,1%@737,0%@729,3%@729,2%@697,1%@729,1%@730,4%@730,1%@731,1%@728,0%@730] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.593C Tdiode@36.5C SOC2@43.562C SOC0@44.625C CV1@-256C GPU@41.781C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4757mW/4756mW VDD_CPU_CV 792mW/858mW VIN_SYS_5V0 4119mW/4070mW NC 0mW/0mW VDDQ_VDD2_1V8AO 703mW/736mW NC 0mW/0mW
08-07-2023 17:50:37 RAM 2626/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [5%@2193,0%@729,0%@728,0%@729,4%@753,0%@730,3%@729,0%@725,4%@729,2%@729,0%@730,0%@730] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.343C Tdiode@36.5C SOC2@43.531C SOC0@44.625C CV1@-256C GPU@41.906C SOC1@43.968C CV2@-256C VDD_GPU_SOC 4755mW/4756mW VDD_CPU_CV 1188mW/905mW VIN_SYS_5V0 4119mW/4077mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/745mW NC 0mW/0mW
08-07-2023 17:50:38 RAM 2624/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [6%@729,2%@727,0%@730,0%@728,4%@738,1%@731,0%@729,1%@728,4%@752,2%@729,1%@729,0%@730] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.437C Tdiode@36.5C SOC2@43.593C SOC0@44.468C CV1@-256C GPU@42.031C SOC1@44.062C CV2@-256C VDD_GPU_SOC 4755mW/4756mW VDD_CPU_CV 1188mW/940mW VIN_SYS_5V0 3918mW/4057mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/752mW NC 0mW/0mW
08-07-2023 17:50:39 RAM 2624/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [11%@2194,0%@729,1%@729,1%@729,3%@729,0%@730,1%@694,0%@729,5%@733,1%@731,3%@728,0%@729] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.812C Tdiode@36.5C SOC2@43.656C SOC0@44.593C CV1@-256C GPU@41.937C SOC1@43.968C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/968mW VIN_SYS_5V0 3818mW/4030mW NC 0mW/0mW VDDQ_VDD2_1V8AO 802mW/758mW NC 0mW/0mW
08-07-2023 17:50:40 RAM 2624/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [6%@729,0%@729,0%@729,0%@729,3%@729,2%@730,0%@729,3%@740,5%@728,3%@725,0%@729,1%@728] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.781C Tdiode@36.5C SOC2@43.562C SOC0@44.468C CV1@-256C GPU@41.781C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/990mW VIN_SYS_5V0 3924mW/4020mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/763mW NC 0mW/0mW
08-07-2023 17:50:41 RAM 2624/30623MB (lfb 3120x4MB) SWAP 0/15311MB (cached 0MB) CPU [6%@2184,0%@728,0%@728,0%@731,4%@729,0%@750,0%@727,1%@726,2%@729,0%@729,0%@729,2%@721] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.531C Tdiode@36.5C SOC2@43.562C SOC0@44.531C CV1@-256C GPU@42.156C SOC1@44.031C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1008mW VIN_SYS_5V0 3818mW/4001mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/766mW NC 0mW/0mW
