,0
1342,-156.99910654173195
1343,-168.25936290316542
1344,-178.9516865928988
1345,-190.042588564123
1346,-194.64356663385547
1347,-210.88334903275086
1348,-216.7680002598212
1349,-235.52124149902207
1350,-300.4488003653358
1351,-301.33131006209715
1352,-334.4528410209577
1353,-365.26065138404323
1354,-395.63454909075756
1355,-423.5339779085487
1356,-380.62769250692105
1357,-434.1115488920277
1358,-406.6354130226736
1359,-446.4811111695435
1360,-440.4247254130688
1361,-427.64370220215125
1362,-454.10190720377665
1363,-443.9014354235077
1364,-500.11840403546927
1365,-429.29370814677026
1366,-521.8496033674376
1367,-473.03337360396284
1368,-494.326595149996
1369,-547.3049122578269
1370,-464.83468493658927
1371,-505.78690515703926
1372,-486.87954686892505
1373,
