,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
0,82.0,125.0,44.0,77.0
1,90.0,96.0,51.0,89.0
2,92.0,135.0,42.0,55.0
3,43.0,116.0,43.0,114.0
4,70.0,81.0,33.0,129.0
5,61.0,62.0,41.0,145.0
6,64.0,118.0,31.0,98.0
7,55.0,88.0,29.0,115.0
8,33.0,70.0,26.0,97.0
9,34.0,69.0,39.0,89.0
10,47.0,63.0,18.0,97.0
11,36.0,37.0,31.0,121.0
12,60.0,43.0,30.0,95.0
13,63.0,39.0,19.0,103.0
14,16.0,61.0,21.0,122.0
15,38.0,61.0,32.0,95.0
16,30.0,35.0,22.0,130.0
17,38.0,35.0,17.0,127.0
18,22.0,66.0,24.0,108.0
19,40.0,62.0,39.0,87.0
20,40.0,59.0,24.0,99.0
21,45.0,40.0,21.0,114.0
22,36.0,24.0,21.0,133.0
23,48.0,55.0,20.0,99.0
24,28.0,30.0,17.0,135.0
25,22.0,57.0,23.0,116.0
26,20.0,30.0,13.0,145.0
27,37.0,51.0,33.0,101.0
28,32.0,79.0,15.0,93.0
29,31.0,39.0,14.0,127.0
30,4.0,20.0,10.0,51.0
