seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
60340,4.757,0.792,5.132,0.704,11.385,4.33,,0.0
60341,4.757,0.792,5.241,0.704,11.449117647058824,4.33,,0.0
60342,4.757,0.792,5.241,0.704,11.46961187214612,4.33,,0.0
60344,4.757,1.188,5.342,0.805,11.715323726806158,4.33,2.0,0.0
60345,4.757,1.188,5.342,0.805,11.851155926580361,4.305,,0.0
60346,4.757,1.188,5.132,0.805,11.861642934614455,4.28,,0.0
60347,4.757,1.188,5.032,0.805,11.835605782820101,4.255000000000001,,0.0
60348,4.757,1.188,4.931,0.805,11.786386663703018,4.23,1.0,0.0
60349,4.757,1.188,4.931,0.805,11.753441196141711,4.23,1.0,0.0
60350,4.757,0.792,4.83,0.704,11.54646219274703,4.205,,0.0
60351,4.757,0.792,4.83,0.704,11.404618828141404,4.18,,0.0
60352,4.757,0.792,4.83,0.704,11.306778949843753,4.155,,0.0
60353,4.757,0.792,4.83,0.704,11.238988449440724,4.13,1.0,0.0
60354,4.757,0.792,4.83,0.704,11.191872362435413,4.13,1.0,0.0
60355,4.757,0.792,4.83,0.704,11.159054850548504,4.1075,,0.0
60356,4.755,0.792,4.83,0.704,11.135560316160946,4.085,,0.0
60357,4.757,0.792,4.83,0.704,11.11975545438147,4.0625,,0.0
60358,4.755,0.792,4.83,0.704,11.10810985421336,4.04,1.0,0.0
60359,4.755,0.792,4.83,0.704,11.099967616698152,4.04,1.0,0.0
60360,4.755,0.792,4.83,0.704,11.09427278765555,3.9833333333333334,,0.0
60362,4.755,1.188,4.931,0.805,11.269788985205107,3.9266666666666667,,0.0
60363,4.755,1.188,4.931,0.805,11.392600306672541,3.87,1.0,0.0
60364,4.755,1.188,4.931,0.805,11.478543736310892,3.87,1.0,0.0
60365,4.755,1.188,4.931,0.805,11.538692138722624,3.8325,,0.0
60366,4.755,1.188,4.931,0.704,11.550486078754124,3.795,,0.0
60367,4.755,1.188,4.931,0.704,11.558741030059817,3.7575000000000003,,0.0
60368,4.755,0.792,4.931,0.704,11.445711293590872,3.72,1.0,0.0
60369,4.755,0.792,4.931,0.704,11.366594266236872,3.72,1.0,0.0
60370,4.755,0.792,4.931,0.704,11.311214203179972,3.685,,0.0
60371,4.755,0.792,4.83,0.704,11.242148385528013,3.6500000000000004,,0.0
60372,4.755,0.792,4.83,0.704,11.19380310710013,3.615,,0.0
60373,4.757,0.792,4.931,0.704,11.190862142489264,3.58,1.0,0.0
60374,4.757,0.792,4.83,0.704,11.158503249576087,3.58,1.0,0.0
60375,4.757,0.792,4.931,0.805,11.196452480072944,3.55,,0.0
60376,4.757,0.792,4.83,0.704,11.162416607116812,3.52,,0.0
60377,4.757,0.792,4.83,0.704,11.13859156180416,3.49,,0.0
60379,4.757,1.188,5.032,0.805,11.33161445155424,3.46,2.0,0.0
60380,4.757,0.792,4.73,0.704,11.227029980196333,3.41,,0.0
60381,4.757,0.792,4.73,0.704,11.153820919550594,3.36,,0.0
60382,4.757,1.188,4.931,0.805,11.311974744378883,3.3099999999999996,,0.0
60383,4.757,0.792,4.83,0.704,11.243282290450612,3.26,0.0,0.0
60384,4.755,0.792,4.83,0.704,11.19459758812709,3.26,0.0,0.0
60385,4.755,0.792,4.73,0.704,11.130518297695238,3.215,,0.0
60386,4.755,0.792,4.83,0.704,11.115662806115752,3.17,,0.0
60387,4.755,0.792,4.73,0.704,11.07526395995807,3.125,,0.0
60388,4.755,0.792,4.83,0.704,11.076984772099546,3.08,0.0,0.0
60389,4.755,0.792,4.73,0.704,11.048189338959842,3.08,0.0,0.0
60390,4.755,0.792,4.73,0.704,11.028032536532068,3.0375,,0.0
60391,4.755,0.792,4.73,0.704,11.013922775209936,2.995,,0.0
60392,4.755,0.792,4.73,0.704,11.004045942469325,2.9525,,0.0
60393,4.755,0.792,4.83,0.704,11.027132160019166,2.91,0.0,0.0
60394,4.755,0.792,4.73,0.704,11.013292511891454,2.91,0.0,0.0
60395,4.755,0.792,4.73,0.704,11.003604758264258,2.86,,0.0
60396,4.755,0.792,4.73,0.704,10.996823330755698,2.81,,0.0
60398,4.755,0.792,4.73,0.704,10.99207633151464,2.76,0.0,0.0
60399,4.757,0.792,4.73,0.704,10.98935343205449,2.76,0.0,0.0
60400,4.755,0.792,4.73,0.704,10.986847402434432,2.7249999999999996,,0.0
60401,4.755,1.188,5.032,0.805,11.2247931819508,2.69,,0.0
60402,5.152,1.584,5.132,0.805,11.659255227680868,2.6550000000000002,,0.0
60403,5.152,4.357,5.544,1.107,13.009478660062552,2.62,7.0,0.0
60404,5.152,6.734,5.745,1.207,14.758035062665599,2.62,7.0,0.0
60405,5.152,6.734,5.644,1.207,15.951724544163065,2.6675,,0.0
60406,5.152,7.527,5.644,1.207,17.0252071811012,2.715,,0.0
60407,5.152,8.319,5.644,1.207,18.01424502689148,2.7625,,0.0
60408,5.55,7.53,5.947,1.408,18.740471518886043,2.81,33.0,0.0
60409,5.548,7.527,5.947,1.408,19.24733006325052,2.81,33.0,0.0
60410,5.152,7.923,5.644,1.207,19.450931044283884,2.8525,,0.0
60411,5.152,7.527,5.644,1.207,19.474651730999415,2.895,,0.0
60412,5.152,7.527,5.443,1.107,19.40095621169808,2.9375,,0.0
60413,5.154,7.13,5.544,1.107,19.261169348186648,2.98,31.0,0.0
60414,5.152,6.734,5.644,1.207,19.103918543729076,2.98,31.0,0.0
60415,5.548,6.734,5.947,1.408,19.263842980611475,3.0225,,0.0
60416,5.548,7.13,6.148,1.509,19.585190086429613,3.065,,0.0
60417,5.548,7.527,5.745,1.308,19.74803306050129,3.1075,,0.0
60418,5.548,7.527,5.745,1.308,19.862023142351173,3.15,33.0,0.0
60419,5.548,6.734,5.947,1.408,19.794516199645706,3.15,33.0,0.0
60420,5.548,6.734,5.745,1.308,19.656661339751835,3.185,,0.0
60421,5.548,6.734,5.745,1.308,19.560162937826206,3.2199999999999998,,0.0
60422,5.548,6.338,5.947,1.408,19.464414056478287,3.255,,0.0
60423,5.152,7.527,5.644,1.207,19.48408983953481,3.29,31.0,0.0
60424,5.152,7.527,5.544,1.107,19.437862887674353,3.29,31.0,0.0
60425,5.152,7.923,5.443,1.107,19.49400402137206,3.325,,0.0
60426,5.152,8.319,5.443,1.107,19.652102814960468,3.3600000000000003,,0.0
60427,5.152,8.319,5.443,1.006,19.732471970472336,3.395,,0.0
60428,5.152,7.527,5.544,1.107,19.611730379330623,3.43,32.0,0.0
60429,5.152,7.527,5.544,1.107,19.52721126553143,3.43,32.0,0.0
