timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1689913360652,sensor,all,0,21,154927104,743923,743923
1689913361653,sensor,all,0,21,86357049344,980551200,980551200
1689913362653,sensor,all,0,21,82256330752,1981011269,1981011269
1689913363654,sensor,all,0,21,81631379456,2981326546,2981326546
1689913364654,sensor,all,0,21,81088741376,3981710366,3981710366
1689913365654,sensor,all,0,21,81618796544,4982067643,4982067643
1689913366655,sensor,all,0,21,80857268224,5982435356,5982435356
1689913367655,sensor,all,0,21,81412751360,6982809370,6982809370
1689913368656,sensor,all,0,21,81367138304,7983210508,7983210508
1689913369656,sensor,all,0,21,81914757120,8983539336,8983539336
1689913370656,sensor,all,0,21,80700768256,9983968367,9983968367
1689913371657,sensor,all,0,21,80609804288,10984325864,10984325864
1689913372657,sensor,all,0,21,80733011968,11984587280,11984587280
1689913373657,sensor,all,0,21,80188801024,12985032372,12985032372
1689913374658,sensor,all,0,21,81318117376,13985088512,13985088512
1689913375658,sensor,all,0,21,79957590016,14985378145,14985378145
1689913376659,sensor,all,0,21,80262725632,15986125367,15986125367
1689913377659,sensor,all,0,21,81267261440,16986397584,16986397584
1689913378659,sensor,all,0,21,80740614144,17986840607,17986840607
1689913379660,sensor,all,0,21,80557375488,18987201634,18987201634
1689913380660,sensor,all,0,21,80202170368,19987529162,19987529162
1689913381660,sensor,all,0,21,80360505344,20987893544,20987893544
1689913382661,sensor,all,0,21,80686088192,21988302774,21988302774
1689913383661,sensor,all,0,21,80601415680,22988661590,22988661590
1689913384661,sensor,all,0,21,81105518592,23988996569,23988996569
1689913385662,sensor,all,0,21,80145285120,24989420394,24989420394
1689913386662,sensor,all,0,21,80605347840,25989668968,25989668968
1689913387663,sensor,all,0,21,80722788352,26990111405,26990111405
1689913388663,sensor,all,0,21,83083395072,27990424843,27990424843
1689913389663,sensor,all,0,21,81659691008,28990883892,28990883892
1689913390664,sensor,all,0,21,79884189696,29991153100,29991153100
1689913391664,sensor,all,0,21,79194750976,30991397977,30991397977
1689913392664,sensor,all,0,21,80750837760,31991873568,31991873568
1689913393665,sensor,all,0,21,80978378752,32992366979,32992366979
1689913394665,sensor,all,0,21,81477238784,33992593354,33992593354
1689913395665,sensor,all,0,21,80762896384,34992983064,34992983064
1689913396666,sensor,all,0,21,81314709504,35993369005,35993369005
1689913397666,sensor,all,0,21,80546627584,36993711763,36993711763
1689913398667,sensor,all,0,21,81978458112,37994114914,37994114914
1689913399667,sensor,all,0,21,80984145920,38994439129,38994439129
1689913400667,sensor,all,0,21,80912056320,39994847772,39994847772
1689913401668,sensor,all,0,21,80719380480,40995286781,40995286781
1689913402668,sensor,all,0,21,81301340160,41995591841,41995591841
1689913403668,sensor,all,0,21,80552394752,42995991532,42995991532
1689913404669,sensor,all,0,21,81635311616,43996316531,43996316531
1689913405669,sensor,all,0,21,81169743872,44996627595,44996627595
1689913406670,sensor,all,0,21,81762975744,45997120612,45997120612
1689913407670,sensor,all,0,21,80629465088,46997460233,46997460233
1689913408670,sensor,all,0,21,80888463360,47997829186,47997829186
1689913409671,sensor,all,0,21,80613474304,48998190852,48998190852
1689913410671,sensor,all,0,21,80487120896,49998428561,49998428561
1689913411671,sensor,all,0,21,80948232192,50998862832,50998862832
1689913412672,sensor,all,0,21,81205133312,51999247773,51999247773
1689913413672,sensor,all,0,21,80268492800,52999642493,52999642493
1689913414673,sensor,all,0,21,80899997696,53999967496,53999967496
1689913415673,sensor,all,0,21,80104128512,55000388363,55000388363
1689913416673,sensor,all,0,21,81131470848,56000724689,56000724689
1689913417674,sensor,all,0,21,80874569728,57001105100,57001105100
1689913418674,sensor,all,0,21,81893261312,58001444773,58001444773
1689913419674,sensor,all,0,21,80861200384,59001773351,59001773351
1689913420675,sensor,all,0,21,83728793600,60002228202,60002228202
1689913421675,sensor,all,0,21,80555016192,61002496553,61002496553
1689913422675,sensor,all,0,21,91543044096,62002692464,62002692464
1689913423676,sensor,all,0,21,109868220416,63003356080,63003356080
1689913424676,sensor,all,0,21,104982642688,64003716875,64003716875
1689913425677,sensor,all,0,21,104411693056,65004152681,65004152681
1689913426677,sensor,all,0,21,108108447744,66004081425,66004081425
1689913427678,sensor,all,0,21,160346406912,67003877992,67003877992
1689913428679,sensor,all,0,21,256789446656,68005154115,68005154115
1689913429689,sensor,all,0,21,289988935680,69015089540,69015089540
1689913430691,sensor,all,0,21,302251245568,70017325152,70017325152
1689913431692,sensor,all,0,21,334845181952,71018880016,71018880016
1689913432695,sensor,all,0,21,351281610752,72021544889,72021544889
1689913433699,sensor,all,0,21,386333671424,73025550203,73025550203
1689913434702,sensor,all,0,21,386965438464,74034889823,74034889823
1689913435704,sensor,all,0,21,471098195968,75030481906,75030481906
1689913436736,sensor,all,0,21,504580276224,76062703831,76062703831
1689913437739,sensor,all,0,21,502641197056,77065951520,77065951520
1689913438741,sensor,all,0,21,497966907392,78067754859,78067754859
1689913439742,sensor,all,0,21,484170268672,79068918883,79068918883
1689913440744,sensor,all,0,21,500707885056,80070480175,80070480175
1689913441746,sensor,all,0,21,541221453824,81073316761,81073316761
1689913442749,sensor,all,0,21,543171018752,82075458799,82075458799
1689913443753,sensor,all,0,21,486892371968,83079843060,83079843060
1689913444756,sensor,all,0,21,465070456832,84084449374,84084449374
