timestamp,consumption,pid,fqdn
1692825830,35.618812,,total
1692825833,40.990536,,total
1692825835,40.33712,,total
1692825837,44.13897,,total
1692825839,68.00641,,total
1692825841,79.67434,,total
1692825844,95.29854,,total
1692825847,116.95223,,total
1692825849,117.6607,,total
1692825852,124.633496,,total
1692825854,116.91886,,total
1692825857,93.47501,,total
1692825859,98.04725,,total
1692825862,115.31421,,total
1692825865,132.69359,,total
1692825868,135.22205,,total
1692825870,114.95416,,total
1692825873,130.257624,,total
1692825878,98.25048,,total
1692825881,87.513384,,total
1692825883,90.318264,,total
1692825886,99.26896,,total
1692825889,113.64014,,total
1692825891,110.619416,,total
1692825894,100.92066,,total
1692825897,112.17171,,total
1692825899,116.83438,,total
1692825902,128.95593,,total
1692825905,124.65406,,total
1692825908,117.94355,,total
1692825910,113.45266,,total
1692825913,119.93007,,total
1692825916,112.8016,,total
1692825918,106.86947,,total
1692825921,123.9012,,total
1692825924,137.65963,,total
1692825927,137.50086,,total
1692825930,117.68169,,total
1692825933,116.75061,,total
1692825936,129.58255,,total
1692825939,126.356104,,total
1692825941,111.05371,,total
1692825944,94.07033,,total
1692825946,108.0202,,total
1692825948,126.97983,,total
1692825951,119.43853,,total
1692825953,93.56428,,total
1692825955,92.81068,,total
1692825957,76.65205,,total
1692825960,91.42856,,total
1692825962,95.66312,,total
1692825964,100.72699,,total
1692825966,126.095656,,total
1692825969,129.81585,,total
1692825971,124.03962,,total
1692825973,101.666456,,total
1692825975,86.725256,,total
1692825977,101.40825,,total
1692825980,117.75662,,total
1692825982,122.50804,,total
1692825984,111.86349,,total
1692825987,94.92107,,total
1692825989,109.7054,,total
1692825991,123.15485,,total
1692825993,102.85822,,total
1692825995,102.18711,,total
1692825998,101.3407,,total
1692826000,87.7808,,total
1692826002,117.28779,,total
1692826004,120.01486,,total
1692826007,105.72994,,total
1692826009,79.58811,,total
1692826011,103.22701,,total
1692826013,125.84454,,total
1692826016,118.66183,,total
1692826018,107.68708,,total
1692826020,118.18175,,total
1692826022,126.202,,total
1692826025,130.89024,,total
1692826027,84.365256,,total
1692826029,71.45717,,total
1692826031,93.66933,,total
1692826033,110.26715,,total
1692826036,109.37162,,total
1692826038,104.14749,,total
1692826040,116.46318,,total
1692826042,104.23106,,total
1692826045,77.09413,,total
1692826047,87.56376,,total
1692826049,88.18461,,total
1692826051,118.278184,,total
1692826054,123.340616,,total
1692826056,125.52354,,total
1692826058,93.466184,,total
1692826060,118.03479,,total
1692826063,118.48147,,total
1692826065,130.61064,,total
1692826067,104.722456,,total
1692826069,112.37264,,total
1692826072,101.73283,,total
1692826074,108.95829,,total
1692826076,103.59842,,total
1692826078,120.82492,,total
1692826081,136.97691,,total
1692826083,127.17127,,total
1692826085,111.24926,,total
1692826087,112.48985,,total
1692826090,121.94163,,total
1692826092,119.10512,,total
1692826095,101.36792,,total
1692826097,80.18116,,total
1692826099,100.59623,,total
1692826101,120.11914,,total
1692826103,108.52453,,total
1692826105,120.07843,,total
1692826108,126.70594,,total
1692826110,116.488296,,total
1692826112,124.34258,,total
1692826115,119.890584,,total
1692826117,94.589176,,total
1692826119,86.20341,,total
1692826121,91.41715,,total
1692826123,121.859976,,total
1692826126,123.36296,,total
1692826128,109.82733,,total
1692826130,127.05694,,total
1692826133,118.68516,,total
1692826135,120.316056,,total
1692826137,97.21191,,total
1692826139,93.31453,,total
1692826142,106.72498,,total
1692826144,84.994,,total
1692826146,102.739016,,total
1692826148,126.93095,,total
1692826150,109.950376,,total
1692826153,112.3098,,total
1692826155,119.57523,,total
1692826157,118.64497,,total
1692826160,111.89862,,total
1692826162,126.82438,,total
1692826164,120.2071,,total
1692826166,118.049736,,total
1692826169,137.76514,,total
1692826171,117.557016,,total
1692826173,135.29154,,total
1692826176,121.24367,,total
1692826178,88.42866,,total
1692826180,118.42534,,total
1692826182,134.4679,,total
1692826184,91.33548,,total
1692826187,106.02158,,total
1692826189,112.34271,,total
1692826191,107.28898,,total
1692826194,118.57899,,total
1692826196,113.103224,,total
1692826198,129.7735,,total
1692826201,128.3764,,total
1692826203,122.47052,,total
1692826205,117.04367,,total
1692826207,109.37494,,total
1692826210,87.65319,,total
1692826212,89.4727,,total
1692826214,116.42582,,total
1692826216,100.19849,,total
1692826218,115.87215,,total
1692826221,105.98535,,total
1692826223,99.44111,,total
1692826226,120.938696,,total
1692826228,101.01124,,total
1692826230,114.34219,,total
1692826233,123.88495,,total
1692826235,112.89631,,total
1692826237,143.1752,,total
1692826240,113.52663,,total
1692826242,103.81583,,total
1692826245,78.77276,,total
1692826247,90.26073,,total
1692826249,84.10585,,total
1692826251,104.83797,,total
1692826254,117.43218,,total
1692826256,101.44579,,total
1692826259,113.98471,,total
1692826261,99.15242,,total
