timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692837150603,sensor,all,0,21,136839168,1737832,1737832
1692837151604,sensor,all,0,21,92768567296,973292520,973292520
1692837152604,sensor,all,0,21,89366200320,1973499190,1973499190
1692837153604,sensor,all,0,21,86733488128,2973941644,2973941644
1692837154605,sensor,all,0,21,88888049664,3974132894,3974132894
1692837155605,sensor,all,0,21,95168233472,4973880336,4973880336
1692837156605,sensor,all,0,21,112463446016,5974657352,5974657352
1692837157606,sensor,all,0,21,106971529216,6974785832,6974785832
1692837158606,sensor,all,0,21,110727790592,7975105581,7975105581
1692837159606,sensor,all,0,21,113065852928,8975656050,8975656050
1692837160607,sensor,all,0,21,110045954048,9975329064,9975329064
1692837161609,sensor,all,0,21,239079260160,10976398243,10976398243
1692837162610,sensor,all,0,21,283346468864,11977574766,11977574766
1692837163612,sensor,all,0,21,338781274112,12979440791,12979440791
1692837164613,sensor,all,0,21,362437935104,13980643997,13980643997
1692837165614,sensor,all,0,21,386070216704,14981950243,14981950243
1692837166617,sensor,all,0,21,405225078784,15984141735,15984141735
1692837167622,sensor,all,0,21,427853873152,16990406682,16990406682
1692837168627,sensor,all,0,21,469319811072,17995291872,17995291872
1692837169630,sensor,all,0,21,479380373504,19000143707,19000143707
1692837170638,sensor,all,0,21,535336058880,20007391897,20007391897
1692837171642,sensor,all,0,21,512245628928,21012429233,21012429233
1692837172650,sensor,all,0,21,518601834496,22018527063,22018527063
1692837173657,sensor,all,0,21,539968143360,23025876091,23025876091
1692837174659,sensor,all,0,21,520779464704,24029041246,24029041246
1692837175661,sensor,all,0,21,401234722816,25031614221,25031614221
1692837176663,sensor,all,0,21,382423531520,26031736491,26031736491
1692837177667,sensor,all,0,21,387607953408,27035225131,27035225131
1692837178670,sensor,all,0,21,497311285248,28038390122,28038390122
1692837179672,sensor,all,0,21,526586740736,29041338971,29041338971
1692837180675,sensor,all,0,21,576015302656,30043869742,30043869742
