success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,image_processing-0,true,2752326,2.588103771209717,3740130,a4ab1fe5to0a89tof2dftocb0atod1eaab03fa73
true,dd-0,true,1175074,1.005735158920288,2083481,ee46f7b2to4859to2cacto6bf2tof7691fa0653b
true,dd-0,true,1273496,1.1354339122772217,7570350,62a17fdato8e51tof7e4tob9e7to8b442e7e08d8
true,pyaes-0,true,3482205,3.3774425983428955,8983947,61798d16toe86cto9843to6f5dto01f0d9a84fbc
true,image_processing-0,true,2920891,2.730522394180298,9104005,3ee82922tocbb6tob2c0to1a09tof7981bd7da27
true,cnn_image_classification-0,true,5908761,2.396820545196533,12324437,d1d763b6to3eddtoea89to9452to2c4a6fb2f166
true,dd-0,true,1231555,1.0636849403381348,7909615,dd0ca75atoa8b4to65f4tod2dbtoc4095fe127f5
true,image_processing-0,true,2740969,2.5744986534118652,9660074,53fbb076to0b13to74ddto339eto6a12030176ab
true,pyaes-0,true,3381617,3.261894702911377,10783359,0288e10bto6d96tob14cto4cdfto81f80920924a
true,pyaes-0,true,3272848,3.1654751300811768,10975687,9e464194toc75cto0c82to1cc3to64e966013794
true,pyaes-0,true,3216880,3.104813575744629,10914237,ea25cab4to7589to099fto0b4ftod9c4369beba1
true,dd-0,false,1206206,1.2024822235107422,1213853,23c36c7atob6b9to90eftod142to80d6f1a94134
true,pyaes-0,true,3508858,3.3929977416992188,11161970,f17993cfto3866to1c82to2af6to4054919e947e
true,dd-0,true,1114896,0.997222661972046,9060424,4845dbb4to1b7eto76aato7151to44674354889f
true,pyaes-0,true,3310044,3.197671175003052,11859147,0ca5e9f7to7ac5tofe98to7ec8to3be063989738
true,cnn_image_classification-0,true,5333493,1.93204927444458,13986529,c32ef8d1to83fdtoc531to2bceto055de6f09a19
true,cnn_image_classification-0,true,5020765,1.7953689098358154,13707721,6c0e833dtob421tode57to9207to3d5a96e6d6c1
true,image_processing-0,false,2456171,2.4529788494110107,2463434,742c11dbtofa4etoc850to81c6to925755bd265f
