,timestamp,ram_used_mb,ram_size_mb,largest_free_blocks,lfb_size_mb,swap_mb,swap_size_mb,cached_mb,cpu_0_load,cpu_1_load,cpu_2_load,cpu_3_load,cpu_4_load,cpu_5_load,cpu_6_load,cpu_7_load,cpu_8_load,cpu_9_load,cpu_10_load,cpu_11_load,cpu_0_freq,cpu_1_freq,cpu_2_freq,cpu_3_freq,cpu_4_freq,cpu_5_freq,cpu_6_freq,cpu_7_freq,cpu_8_freq,cpu_9_freq,cpu_10_freq,cpu_11_freq,EMC_%bandwidth,EMC_freq_mhz,gr3d_%bandwidth,gr3d_freq_mhz,gr3d2_%bandwidth,gr3d2_freq_mhz,nvjpg1,vic_freq,ape,CV0,CPU,Tdiode,SOC2,SOC0,CV1,GPU,SOC1,CV2,VDD_GPU_SOC_current,VDD_GPU_SOC_avg,VDD_CPU_CV_current,VDD_CPU_CV_avg,VIN_SYS_5V0_current,VIN_SYS_5V0_avg,NC_current,NC_avg,VDDQ_VDD2_1V8AO_current,VDDQ_VDD2_1V8AO_avg,NC_current,NC_avg
0,2023-08-06 19:24:06,1855,30623,6649,4,0,15311,0,31,0,0,0,1,52,1,3,1,4,0,0,729,710,729,729,2193,2194,2193,2194,729,729,728,729,1,2133,0,114,0,114,729,729,233,-256,42.25,30.25,37.781,38.156,-256,35.937,37.843,-256,4757,4757,2377,2377,4313,4313,0,0,1103,1103,0,0
1,2023-08-06 19:24:07,1872,30623,6649,4,0,15311,0,4,4,0,0,0,85,0,2,1,1,1,5,729,729,729,729,744,733,729,770,2191,2195,2130,2230,1,2133,0,114,0,114,729,729,233,-256,42.218,30.25,37.843,38.25,-256,36.375,37.937,-256,4757,4757,2377,2377,4313,4313,0,0,1103,1103,0,0
2,2023-08-06 19:24:08,1870,30623,6649,4,0,15311,0,30,8,12,0,1,14,5,0,19,5,4,4,2153,2182,2192,2190,730,729,729,729,738,741,729,729,1,2133,0,114,0,114,729,729,233,-256,42.375,30.25,37.968,38.218,-256,36.187,38.062,-256,4757,4757,2377,2377,4213,4279,0,0,1103,1103,0,0
3,2023-08-06 19:24:10,1873,30623,6649,4,0,15311,0,2,0,18,0,4,4,23,7,25,12,0,8,729,729,726,729,729,729,729,746,2194,2195,2193,2195,0,2133,0,114,0,114,729,729,233,-256,42.093,30.25,37.875,38.406,-256,36.218,37.906,-256,4757,4757,2377,2377,4320,4289,0,0,1105,1103,0,0
4,2023-08-06 19:24:11,1873,30623,6649,4,0,15311,0,0,0,13,3,8,4,28,13,14,3,4,18,2192,729,729,731,729,739,729,749,2194,2194,2192,2192,0,2133,0,114,0,114,729,729,233,-256,42.187,30.25,37.812,38.312,-256,36.437,37.937,-256,4757,4757,2377,2377,4226,4277,0,0,1107,1104,0,0
5,2023-08-06 19:24:12,1839,30623,6649,4,0,15311,0,0,0,10,12,10,0,42,0,11,10,0,5,2194,2195,2193,2195,729,719,729,729,730,732,730,1804,0,2133,0,114,0,114,729,729,233,-256,42.156,30.25,37.843,38.343,-256,36.281,37.968,-256,4757,4757,2377,2377,4220,4267,0,0,1103,1104,0,0
6,2023-08-06 19:24:13,1844,30623,6657,4,0,15311,0,2,0,47,0,0,0,0,10,38,0,0,0,729,727,729,736,2195,2215,2238,2191,1457,1420,1422,1420,1,2133,0,114,0,114,729,729,233,-256,42.156,30.25,37.812,38.375,-256,36.218,38,-256,4759,4757,2378,2377,4313,4274,0,0,1103,1103,0,0
7,2023-08-06 19:24:14,1834,30623,6657,4,0,15311,0,9,5,0,15,8,5,7,30,8,1,3,6,729,729,729,729,2192,2194,2197,2203,729,729,729,729,1,2133,0,114,0,114,729,729,233,-256,42.593,30.25,37.968,38.406,-256,36.531,37.968,-256,4759,4757,2378,2377,4414,4291,0,0,1103,1103,0,0
8,2023-08-06 19:24:15,1857,30623,6655,4,0,15311,0,71,0,1,0,0,21,0,0,0,1,3,0,2193,2194,2194,2216,729,730,729,729,729,720,729,730,1,2133,0,114,0,114,729,729,233,-256,42.187,30.25,38.156,38.406,-256,36.343,38.062,-256,4759,4757,2378,2377,4320,4294,0,0,1103,1103,0,0
9,2023-08-06 19:24:16,1869,30623,6650,4,0,15311,0,88,0,0,0,1,1,0,9,1,0,0,5,2193,2193,2193,2192,729,729,729,729,737,728,730,736,1,2133,0,114,0,114,729,729,233,-256,42.406,30.25,38.156,38.437,-256,36.343,38.031,-256,5156,4797,2378,2377,4521,4317,0,0,1105,1103,0,0
