,timestamp,ram_used_mb,ram_size_mb,largest_free_blocks,lfb_size_mb,swap_mb,swap_size_mb,cached_mb,cpu_0_load,cpu_1_load,cpu_2_load,cpu_3_load,cpu_4_load,cpu_5_load,cpu_6_load,cpu_7_load,cpu_8_load,cpu_9_load,cpu_10_load,cpu_11_load,cpu_0_freq,cpu_1_freq,cpu_2_freq,cpu_3_freq,cpu_4_freq,cpu_5_freq,cpu_6_freq,cpu_7_freq,cpu_8_freq,cpu_9_freq,cpu_10_freq,cpu_11_freq,EMC_%bandwidth,EMC_freq_mhz,gr3d_%bandwidth,gr3d_freq_mhz,gr3d2_%bandwidth,gr3d2_freq_mhz,nvjpg1,vic_freq,ape,CV0,CPU,Tdiode,SOC2,SOC0,CV1,GPU,SOC1,CV2,VDD_GPU_SOC_current,VDD_GPU_SOC_avg,VDD_CPU_CV_current,VDD_CPU_CV_avg,VIN_SYS_5V0_current,VIN_SYS_5V0_avg,NC_current,NC_avg,VDDQ_VDD2_1V8AO_current,VDDQ_VDD2_1V8AO_avg,NC_current,NC_avg
0,2023-08-06 21:55:12,2402,30623,5443,4,0,15311,0,4,0,0,0,1,0,0,0,2,2,0,0,2196,729,729,742,730,728,729,729,726,729,729,729,7,204,0,114,0,114,729,729,233,-256,48.281,37,44.187,45.156,-256,42.406,44.531,-256,4757,4757,792,792,3623,3623,0,0,704,704,0,0
1,2023-08-06 21:55:13,2395,30623,5443,4,0,15311,0,5,5,2,3,3,2,4,6,7,4,4,4,732,729,729,1369,731,735,729,729,2197,2195,2196,2194,0,2133,0,114,0,114,729,729,233,-256,49.156,37,44.312,44.906,-256,42.437,44.437,-256,4757,4757,1585,1188,4019,3821,0,0,803,753,0,0
2,2023-08-06 21:55:14,2376,30623,5443,4,0,15311,0,11,6,5,7,6,5,1,2,7,6,2,4,2193,729,749,730,728,740,730,729,736,724,729,736,5,204,0,114,0,114,729,729,233,-256,48.031,37,44.156,45.093,-256,42.375,44.593,-256,4759,4757,1188,1188,3711,3784,0,0,702,736,0,0
3,2023-08-06 21:55:15,2376,30623,5443,4,0,15311,0,6,0,2,0,0,0,3,0,2,0,2,0,2194,730,729,723,729,729,730,735,1672,1863,1857,729,2,204,0,114,0,114,729,729,233,-256,47.937,37,44.062,44.968,-256,42.656,44.437,-256,4757,4757,792,1089,3711,3766,0,0,702,727,0,0
4,2023-08-06 21:55:16,2377,30623,5443,4,0,15311,0,2,0,0,2,4,0,0,2,3,0,0,1,729,729,726,729,730,729,760,728,729,729,729,730,1,204,0,114,0,114,729,729,233,-256,48,36.75,44.062,45,-256,42.343,44.625,-256,4757,4757,792,1029,3611,3735,0,0,702,722,0,0
5,2023-08-06 21:55:17,2376,30623,5443,4,0,15311,0,2,0,0,0,0,0,0,0,2,0,0,0,2195,727,729,728,724,728,730,720,729,736,737,744,0,204,0,114,0,114,729,729,233,-256,48.093,37,43.968,44.781,-256,42.468,44.343,-256,4757,4757,792,990,3617,3715,0,0,703,719,0,0
6,2023-08-06 21:55:18,2379,30623,5443,4,0,15311,0,1,0,0,0,1,0,0,1,1,1,1,0,730,729,729,726,729,729,745,729,729,732,737,746,0,204,0,114,0,114,729,729,233,-256,47.75,37,43.968,44.781,-256,42.281,44.437,-256,4757,4757,792,961,3623,3702,0,0,704,717,0,0
7,2023-08-06 21:55:19,2379,30623,5443,4,0,15311,0,3,0,2,0,2,2,0,1,0,0,0,0,2191,730,732,728,752,728,729,695,729,738,728,730,0,204,0,114,0,114,729,729,233,-256,47.875,36.75,44.031,44.781,-256,42.156,44.5,-256,4757,4757,792,940,3611,3690,0,0,702,715,0,0
8,2023-08-06 21:55:20,2379,30623,5443,4,0,15311,0,3,0,0,0,3,0,0,0,1,1,0,0,727,705,729,729,728,726,730,729,729,707,729,729,0,204,0,114,0,114,729,729,233,-256,47.656,36.75,43.937,44.718,-256,42.281,44.281,-256,4757,4757,792,924,3611,3681,0,0,702,713,0,0
9,2023-08-06 21:55:21,2378,30623,5443,4,0,15311,0,2,0,0,0,1,0,0,0,1,1,0,0,2226,732,731,729,729,729,729,717,729,729,729,721,0,204,0,114,0,114,729,729,233,-256,48.031,36.75,44,44.968,-256,42.093,44.5,-256,4757,4757,792,910,3611,3674,0,0,702,712,0,0
