07-07-2023 18:22:44 RAM 2316/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@747,3%@694,1%@729,2%@730,4%@775,2%@730,0%@729,2%@729,6%@730,3%@703,1%@730,0%@728] EMC_FREQ 8%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.656C Tdiode@36.5C SOC2@43.5C SOC0@44.406C CV1@-256C GPU@41.875C SOC1@43.937C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1188mW VIN_SYS_5V0 3818mW/3818mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/803mW NC 0mW/0mW
07-07-2023 18:22:45 RAM 2300/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [14%@729,6%@727,4%@729,5%@729,10%@730,10%@729,5%@729,8%@729,9%@713,6%@730,4%@729,9%@745] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.531C Tdiode@36.5C SOC2@43.5C SOC0@44.437C CV1@-256C GPU@41.687C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1584mW/1386mW VIN_SYS_5V0 4019mW/3918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 904mW/853mW NC 0mW/0mW
07-07-2023 18:22:47 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [5%@730,2%@729,4%@730,0%@729,5%@736,3%@721,0%@729,0%@726,4%@729,0%@1050,4%@729,1%@727] EMC_FREQ 3%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.406C Tdiode@36.25C SOC2@43.5C SOC0@44.218C CV1@-256C GPU@41.687C SOC1@43.781C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1320mW VIN_SYS_5V0 3918mW/3918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/836mW NC 0mW/0mW
07-07-2023 18:22:48 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@2195,3%@729,0%@729,0%@727,5%@729,0%@729,6%@729,2%@730,2%@727,3%@730,6%@729,6%@728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.281C Tdiode@36.25C SOC2@43.437C SOC0@44.312C CV1@-256C GPU@41.718C SOC1@43.75C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1287mW VIN_SYS_5V0 4119mW/3968mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/828mW NC 0mW/0mW
07-07-2023 18:22:49 RAM 2297/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@728,0%@729,0%@718,3%@728,5%@729,5%@730,0%@730,1%@738,5%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.656C Tdiode@36.25C SOC2@43.437C SOC0@44.25C CV1@-256C GPU@41.625C SOC1@43.875C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1267mW VIN_SYS_5V0 4126mW/4000mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/823mW NC 0mW/0mW
07-07-2023 18:22:50 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [4%@729,1%@748,0%@729,0%@728,6%@729,6%@728,1%@742,0%@729,5%@734,2%@729,0%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.562C Tdiode@36.25C SOC2@43.312C SOC0@44.281C CV1@-256C GPU@41.875C SOC1@43.843C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 792mW/1188mW VIN_SYS_5V0 4025mW/4004mW NC 0mW/0mW VDDQ_VDD2_1V8AO 704mW/803mW NC 0mW/0mW
07-07-2023 18:22:51 RAM 2296/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [6%@1248,0%@685,0%@728,1%@726,4%@729,3%@729,1%@729,3%@728,7%@729,0%@741,3%@729,2%@728] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.218C Tdiode@36.25C SOC2@43.281C SOC0@44.312C CV1@-256C GPU@41.718C SOC1@43.843C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 792mW/1131mW VIN_SYS_5V0 4019mW/4006mW NC 0mW/0mW VDDQ_VDD2_1V8AO 703mW/789mW NC 0mW/0mW
07-07-2023 18:22:52 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@2192,0%@729,0%@725,0%@729,4%@729,4%@728,0%@753,2%@730,5%@690,1%@729,0%@733,1%@729] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.187C Tdiode@36.25C SOC2@43.312C SOC0@44.312C CV1@-256C GPU@41.75C SOC1@43.625C CV2@-256C VDD_GPU_SOC 4757mW/4755mW VDD_CPU_CV 1188mW/1138mW VIN_SYS_5V0 4119mW/4020mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/791mW NC 0mW/0mW
07-07-2023 18:22:53 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@2106,0%@2105,0%@2104,0%@2106,5%@1911,6%@1881,1%@1453,2%@1419,4%@729,1%@729,1%@729,0%@732] EMC_FREQ 0%@204 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.25C Tdiode@36.25C SOC2@43.312C SOC0@44.312C CV1@-256C GPU@41.5C SOC1@43.812C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1144mW VIN_SYS_5V0 4119mW/4031mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/792mW NC 0mW/0mW
07-07-2023 18:22:54 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [7%@731,1%@728,0%@730,0%@729,4%@729,3%@727,1%@730,1%@729,5%@712,2%@730,4%@744,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.125C Tdiode@36C SOC2@43.375C SOC0@44.343C CV1@-256C GPU@41.781C SOC1@43.656C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1148mW VIN_SYS_5V0 4119mW/4040mW NC 0mW/0mW VDDQ_VDD2_1V8AO 803mW/793mW NC 0mW/0mW
07-07-2023 18:22:55 RAM 2295/30623MB (lfb 4925x4MB) SWAP 4/15311MB (cached 0MB) CPU [9%@729,0%@754,0%@729,0%@730,4%@741,4%@729,1%@730,1%@729,4%@731,1%@729,3%@729,2%@719] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@47.25C Tdiode@36C SOC2@43.25C SOC0@44.156C CV1@-256C GPU@41.687C SOC1@43.687C CV2@-256C VDD_GPU_SOC 4755mW/4755mW VDD_CPU_CV 1188mW/1152mW VIN_SYS_5V0 3824mW/4020mW NC 0mW/0mW VDDQ_VDD2_1V8AO 805mW/794mW NC 0mW/0mW
