timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823062003,sensor,all,0,21,478150656,3953358,3953358
1692823062003,sensor,all,1,38,381681664,4027234,4027234
1692823063003,sensor,all,0,21,85101641728,954145364,954145364
1692823063003,sensor,all,1,38,81163190272,954215952,954215952
1692823064003,sensor,all,0,21,81018486784,1954099432,1954099432
1692823064003,sensor,all,1,38,75760664576,1954142604,1954142604
1692823065004,sensor,all,0,21,81541988352,2954846098,2954846098
1692823065004,sensor,all,1,38,76131598336,2954890222,2954890222
1692823066004,sensor,all,0,21,81649729536,3955161880,3955161880
1692823066004,sensor,all,1,38,76307496960,3955205238,3955205238
1692823067004,sensor,all,0,21,87849435136,4955374554,4955374554
1692823067004,sensor,all,1,38,82331041792,4955420642,4955420642
1692823068005,sensor,all,0,21,97544568832,5955755762,5955755762
1692823068005,sensor,all,1,38,91401486336,5955800673,5955800673
1692823069005,sensor,all,0,21,109829160960,6956143353,6956143353
1692823069005,sensor,all,1,38,98593931264,6956190538,6956190538
1692823070005,sensor,all,0,21,103751352320,7956434675,7956434675
1692823070005,sensor,all,1,38,96727990272,7956478524,7956478524
1692823071006,sensor,all,0,21,103202684928,8956674593,8956674593
1692823071006,sensor,all,1,38,96252985344,8956717951,8956717951
1692823072006,sensor,all,0,21,102881558528,9956814422,9956814422
1692823072006,sensor,all,1,38,96536363008,9956858115,9956858115
1692823073006,sensor,all,0,21,110729887744,10957171015,10957171015
1692823073006,sensor,all,1,38,100006887424,10957220711,10957220711
1692823074011,sensor,all,0,21,219946156032,11960245202,11960245202
1692823074011,sensor,all,1,38,189686087680,11960249124,11960249124
1692823075013,sensor,all,0,21,219939602432,12961148353,12961148353
1692823075013,sensor,all,1,38,239477981184,12961144655,12961144655
1692823076014,sensor,all,0,21,249173377024,13962729639,13962729639
1692823076014,sensor,all,1,38,257517682688,13962725253,13962725253
1692823077016,sensor,all,0,21,266929176576,14964767119,14964767119
1692823077016,sensor,all,1,38,231610253312,14964762889,14964762889
1692823078017,sensor,all,0,21,312326750208,15965416666,15965416666
1692823078017,sensor,all,1,38,235316183040,15965412176,15965412176
